group,name1,name2,year,Bacteria,Fungi,Protists
Drought,X09_13_N_N_0,X09_11_N_N_0,0,0.847,0.916,0.87
Drought,X09_24_N_N_0,X09_11_N_N_0,0,0.88,0.945,0.878
Drought,X09_8_N_N_0,X09_11_N_N_0,0,0.93,0.818,0.912
Drought,X09_24_N_N_0,X09_13_N_N_0,0,0.874,0.933,0.877
Drought,X09_8_N_N_0,X09_13_N_N_0,0,0.868,0.927,0.889
Drought,X09_8_N_N_0,X09_24_N_N_0,0,0.91,0.832,0.903
Drought,X10_13_N_N_0,X10_11_N_N_0,1,0.905,0.909,0.858
Drought,X10_24_N_N_0,X10_11_N_N_0,1,0.883,0.931,0.979
Drought,X10_8_N_N_0,X10_11_N_N_0,1,0.83,0.954,0.971
Drought,X10_24_N_N_0,X10_13_N_N_0,1,0.993,0.691,0.843
Drought,X10_8_N_N_0,X10_13_N_N_0,1,0.862,0.686,0.925
Drought,X10_8_N_N_0,X10_24_N_N_0,1,0.976,0.812,0.925
Drought,X11_13_N_N_0,X11_11_N_N_0,2,0.846,0.697,0.996
Drought,X11_24_N_N_0,X11_11_N_N_0,2,0.837,0.829,0.844
Drought,X11_8_N_N_0,X11_11_N_N_0,2,0.847,0.627,0.996
Drought,X11_24_N_N_0,X11_13_N_N_0,2,0.724,0.903,0.93
Drought,X11_8_N_N_0,X11_13_N_N_0,2,0.795,0.766,0.939
Drought,X11_8_N_N_0,X11_24_N_N_0,2,0.806,0.951,0.833
Drought,X12_13_N_N_0,X12_11_N_N_0,3,0.937,0.709,0.971
Drought,X12_24_N_N_0,X12_11_N_N_0,3,0.98,0.885,0.891
Drought,X12_8_N_N_0,X12_11_N_N_0,3,0.857,0.672,0.943
Drought,X12_24_N_N_0,X12_13_N_N_0,3,0.912,0.792,0.922
Drought,X12_8_N_N_0,X12_13_N_N_0,3,0.837,0.785,0.864
Drought,X12_8_N_N_0,X12_24_N_N_0,3,0.956,0.893,0.679
Drought,X13_13_N_N_0,X13_11_N_N_0,4,0.854,0.959,0.685
Drought,X13_24_N_N_0,X13_11_N_N_0,4,0.953,0.972,0.711
Drought,X13_8_N_N_0,X13_11_N_N_0,4,0.783,0.892,0.778
Drought,X13_24_N_N_0,X13_13_N_N_0,4,0.918,0.922,0.777
Drought,X13_8_N_N_0,X13_13_N_N_0,4,0.83,0.857,0.922
Drought,X13_8_N_N_0,X13_24_N_N_0,4,0.921,0.912,0.826
Drought,X14_13_N_N_0,X14_11_N_N_0,5,0.793,0.808,0.742
