,Bacteria.richness,Bacteria.shannon,Bacteria.invsimpson,Bacteria.PD,Fungi.richness,Fungi.shannon,Fungi.invsimpson,Fungi.PD,Protists.richness,Protists.shannon,Protists.invsimpson,Protists.PD
X09_11_N_N_0,7290,7.780063721,347.4812951,641.84361,493,3.651462245,6.590268512,190.85569,577,5.883758359,180.1943081,59.00647834
X09_13_N_N_0,7826,8.028435608,690.2107692,644.44515,692,4.689440562,25.03669483,225.95864,603,5.95285001,172.0880975,54.43895401
X09_19_N_N_1,7552,7.967535944,595.6390298,628.95996,566,4.260516115,12.10831796,218.20188,574,5.880666533,179.9735359,55.40571427
X09_23_N_N_1,7062,7.740739127,450.2097978,590.01691,575,4.781953088,44.62317078,214.25192,533,5.819515449,190.7719481,55.46620713
X09_24_N_N_0,6980,7.742830481,346.2605684,581.72979,633,4.677194559,37.04413603,207.65501,609,6.045413813,255.4685217,58.14784693
X09_3_N_N_1,7208,7.657720759,303.4897826,606.88646,452,2.962830607,6.509409138,188.76536,491,5.598561523,121.8838367,48.56978856
X09_6_N_N_1,7499,7.925393481,617.0814005,623.94909,557,3.308564099,4.293257798,220.49532,577,5.828904264,133.5889414,58.07690069
X09_8_N_N_0,7615,7.930406845,576.143436,624.0851,532,4.420864819,30.64102329,196.85117,558,5.851908939,183.7098549,55.67026985
X10_11_N_N_0,6815,7.539471253,277.8889115,602.74408,541,4.592175023,45.24470896,218.97063,529,5.757634307,171.7661366,57.2270444
X10_13_N_N_0,6828,7.663555505,422.909646,595.40922,319,3.540627417,15.58621418,140.95159,479,5.553602448,108.4892171,52.03006182
X10_19_N_N_1,7454,7.939276579,513.4325191,620.1301,458,4.021441001,22.18549849,190.71694,571,5.893386013,183.1600998,58.13445223
X10_23_N_N_1,6276,7.416817144,270.8144397,549.91504,357,2.789714079,5.316028845,179.14202,471,5.528729998,106.5842403,50.71918679
X10_24_N_N_0,6961,7.91444386,908.205366,628.90374,386,2.296148943,2.301645512,162.7822,477,5.538269154,111.3511219,57.41781535
X10_3_N_N_1,6600,7.421966041,213.1188466,592.8122,300,3.368953979,12.69432002,136.289,488,5.49255892,92.64278507,51.33990837
X10_6_N_N_1,6767,7.671858607,417.7219118,590.70182,457,4.126328008,18.9919162,196.31092,534,5.782557295,167.9945105,53.90682857
