NetworkIndex,Total.nodes.Bac,Total.links.Bac,avgK.Bac,avgCC.Bac,GD.Bac,Density.Bac,Transitivity.Bac,Con.Bac,Module.number.Greedy.optimization.Bac,Modularity.Greedy.optimization.Bac,Total.nodes.Fun,Total.links.Fun,avgK.Fun,avgCC.Fun,GD.Fun,Density.Fun,Transitivity.Fun,Con.Fun,Module.number.Greedy.optimization.Fun,Modularity.Greedy.optimization.Fun,Total.nodes.Pro,Total.links.Pro,avgK.Pro,avgCC.Pro,GD.Pro,Density.Pro,Transitivity.Pro,Con.Pro,Module.number.Greedy.optimization.Pro,Modularity.Greedy.optimization.Pro
X09_11_N_N_0,1150,1464,2.546086957,0.13686926,6.016048617,0.002215916,0.180274051,0.498058803,154,0.803368254,85,99,2.329411765,0.11873706,3.063259361,0.027731092,0.092150171,0.623809524,14,0.700233427,64,99,3.09375,0.070178994,2.292323035,0.049107143,0.06231454,1,7,0.558615538
X09_13_N_N_0,1271,1648,2.593233674,0.109848937,5.605800149,0.002041916,0.150078782,0.537151601,150,0.790891815,101,117,2.316831683,0.098518519,3.187746281,0.023168317,0.117021277,0.557425743,14,0.723726438,83,127,3.060240964,0.026688189,2.385965131,0.037320012,0.031120332,0.905965325,10,0.541716314
X09_19_N_N_1,944,961,2.036016949,0.126282451,9.586876594,0.002159085,0.373463599,0.212540665,182,0.920567989,98,116,2.367346939,0.154802956,3.898299509,0.024405639,0.152027027,0.685041027,14,0.712662913,84,175,4.166666667,0.067485413,1.996782657,0.050200803,0.029801325,0.930292599,7,0.432534697
X09_23_N_N_1,949,1012,2.132771338,0.13306018,11.61485528,0.002249759,0.365174672,0.364718802,160,0.91845167,93,106,2.279569892,0.105747126,4.250005231,0.024777934,0.066079295,0.875175316,12,0.723956007,80,120,3,0.078345796,2.374670521,0.037974684,0.054794521,0.902531646,10,0.571739611
X09_24_N_N_0,1095,1332,2.432876712,0.127598232,5.848293105,0.002223836,0.159769335,0.463795046,154,0.836666096,83,88,2.120481928,0.180787037,4.324083156,0.025859536,0.166666667,0.529826624,12,0.793260135,80,133,3.325,0.034164014,2.11400991,0.042088608,0.032608696,0.855696203,9,0.49109412
X09_3_N_N_1,1082,1220,2.255083179,0.114432817,7.636953181,0.002086108,0.30295082,0.449617917,164,0.886952482,105,147,2.8,0.13372962,3.072839756,0.026923077,0.109615385,0.784615385,13,0.638890304,80,110,2.75,0.087026862,2.317405935,0.034810127,0.04178273,0.765822785,14,0.589210348
X09_6_N_N_1,1040,1177,2.263461538,0.120861225,7.070058521,0.0021785,0.303555751,0.424376249,162,0.884046575,113,151,2.672566372,0.132024882,3.288245907,0.0238622,0.10738255,0.89664981,13,0.691627389,87,142,3.264367816,0.023496873,2.185880321,0.037957765,0.011009174,0.867682438,11,0.506036683
X09_8_N_N_0,1284,1694,2.638629283,0.11300659,5.619234112,0.002056609,0.155781979,0.537526436,157,0.784243651,93,101,2.172043011,0.127710233,3.250869857,0.023609163,0.104895105,0.521505376,18,0.718957884,79,137,3.46835443,0.041159717,2.23491904,0.044466082,0.04109589,0.901330737,9,0.481568914
X10_11_N_N_0,1231,1675,2.721364744,0.122958219,5.607896065,0.002212492,0.167679657,0.588571655,134,0.775956386,101,111,2.198019802,0.148353909,3.573337732,0.021980198,0.104247104,0.487722772,18,0.760296759,76,126,3.315789474,0.023626374,2.27786102,0.044210526,0.027726433,0.948070175,8,0.502158489
X10_13_N_N_0,1174,1623,2.764906303,0.138077093,5.340028376,0.002357124,0.166591727,0.539765391,144,0.774823446,67,69,2.059701493,0.177200577,2.749069801,0.031207598,0.113207547,0.384441429,15,0.734984049,61,86,2.819672131,0.01780699,2.448030072,0.046994536,0.030821918,0.873224044,9,0.536168375
