	X09_11_N_N_0	X09_13_N_N_0	X09_24_N_N_0	X09_8_N_N_0	X10_11_N_N_0	X10_13_N_N_0	X10_24_N_N_0	X10_8_N_N_0	X11_11_N_N_0	X11_13_N_N_0	X11_24_N_N_0	X11_8_N_N_0	X12_11_N_N_0	X12_13_N_N_0	X12_24_N_N_0	X12_8_N_N_0	X13_11_N_N_0	X13_13_N_N_0	X13_24_N_N_0	X13_8_N_N_0	X14_11_N_N_0	X14_13_N_N_0	X14_24_N_N_0	X14_8_N_N_0
Zotu16482	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Zotu1145	11	6	4	9	12	8	6	14	4	1	2	4	2	4	0	2	1	5	7	2	1	4	0	0
Zotu264	4	4	26	3	4	17	6	16	3	5	15	15	6	4	0	17	2	7	66	25	5	13	7	13
Zotu2847	49	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Zotu2204	9	5	4	1	4	1	2	3	0	0	0	0	0	0	0	0	5	1	3	1	0	2	0	2
Zotu901	8	13	4	6	4	12	9	4	0	4	2	1	6	3	3	2	4	2	12	2	2	6	1	1
Zotu2022	7	1	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	1	0	0	1	0	3	1
Zotu270	17	17	17	11	12	10	25	11	20	27	33	17	14	16	22	10	10	14	30	7	5	14	2	6
Zotu140	30	17	20	33	21	17	30	16	35	24	12	35	15	33	16	32	19	28	29	25	13	20	19	18
Zotu7641	1	2	1	1	3	1	0	3	2	0	0	0	2	0	0	0	1	0	2	1	3	0	6	2
Zotu1746	4	0	2	4	0	3	1	3	0	2	5	1	2	3	4	3	5	3	6	4	5	1	4	2
Zotu1959	59	2	0	12	11	2	0	16	1	0	3	6	4	3	1	3	4	2	2	6	1	3	0	0
Zotu46	16	32	22	72	25	55	10	38	34	4	38	54	82	16	28	76	40	39	36	29	61	21	89	51
Zotu28	62	63	20	38	64	68	23	75	23	8	5	28	86	46	41	101	48	58	14	118	118	44	214	74
Zotu148	5	10	13	16	8	21	13	13	15	8	22	21	19	10	14	27	16	17	17	11	24	13	41	36
Zotu1175	10	7	2	4	15	3	0	3	1	0	1	4	1	2	0	0	5	9	4	6	4	6	1	1
Zotu7	111	245	198	212	189	292	243	103	218	263	196	228	151	181	149	160	211	157	215	120	165	109	206	151
