NetworkIndex,Total nodes,Total links,Average degree (avgK),Average clustering coefficient (avgCC),Average path distance (GD),Density (D),Transitivity (Trans),Krackhardt Connectedness (Con),Module.number.Greedy.optimization,Modularity.Greedy.optimization
X09_11S_N_C_0,1150,1464,2.546086957,0.13686926,6.016048617,0.002215916,0.180274051,0.498058803,154,0.803368254
X09_13S_N_C_0,1271,1648,2.593233674,0.109848937,5.605800149,0.002041916,0.150078782,0.537151601,150,0.790891815
X09_19S_N_C_1,944,961,2.036016949,0.126282451,9.586876594,0.002159085,0.373463599,0.212540665,182,0.920567989
X09_23S_N_C_1,949,1012,2.132771338,0.13306018,11.61485528,0.002249759,0.365174672,0.364718802,160,0.91845167
X09_24S_N_C_0,1095,1332,2.432876712,0.127598232,5.848293105,0.002223836,0.159769335,0.463795046,154,0.836666096
X09_3S_N_C_1,1082,1220,2.255083179,0.114432817,7.636953181,0.002086108,0.30295082,0.449617917,164,0.886952482
X09_6S_N_C_1,1040,1177,2.263461538,0.120861225,7.070058521,0.0021785,0.303555751,0.424376249,162,0.884046575
X09_8S_N_C_0,1284,1694,2.638629283,0.11300659,5.619234112,0.002056609,0.155781979,0.537526436,157,0.784243651
X10_11N_N_N_0,1231,1675,2.721364744,0.122958219,5.607896065,0.002212492,0.167679657,0.588571655,134,0.775956386
X10_13N_N_N_0,1174,1623,2.764906303,0.138077093,5.340028376,0.002357124,0.166591727,0.539765391,144,0.774823446
X10_19N_N_N_1,1124,1249,2.222419929,0.112607876,7.537785708,0.001979003,0.303202362,0.423547754,173,0.897232651
X10_23N_N_N_1,859,971,2.260768335,0.14781002,9.191357866,0.002634928,0.357734092,0.393163298,143,0.898360961
X10_24N_N_N_0,1214,1696,2.794069193,0.11955809,5.326486635,0.002303437,0.153511706,0.58980213,137,0.770900376
X10_3N_N_N_1,936,1036,2.213675214,0.141335685,8.73226566,0.002367567,0.347760061,0.341930618,148,0.909714454
X10_6N_N_N_1,1045,1218,2.331100478,0.113828036,6.600398694,0.002232855,0.283725691,0.425496343,153,0.868808987
X10_8N_N_N_0,1212,1708,2.818481848,0.12002316,5.721817395,0.0023274,0.165008385,0.614973306,126,0.770692731
X11_11N_N_N_0,1176,1565,2.661564626,0.12413072,5.664401612,0.002265161,0.158337787,0.552857143,138,0.784979127
X11_13N_N_N_0,807,932,2.309789343,0.152706901,7.163555761,0.002865744,0.217209691,0.397895585,125,0.871981317
X11_19N_N_N_1,981,1112,2.267074414,0.110311859,6.71084397,0.002313341,0.29489603,0.419821507,153,0.878507874
X11_23N_N_N_1,783,870,2.222222222,0.12787543,6.781783221,0.002841716,0.360208817,0.273631158,137,0.890229362
X11_24N_N_N_0,814,957,2.351351351,0.172972503,6.121715629,0.002892191,0.23290938,0.31587139,137,0.849131585
X11_3N_N_N_1,1101,1322,2.401453224,0.112130491,6.42079712,0.002183139,0.258745142,0.501121295,149,0.858825713
X11_6N_N_N_1,938,989,2.108742004,0.135668338,7.844584324,0.002250525,0.275436793,0.330028467,155,0.910144507
X11_8N_N_N_0,1161,1467,2.527131783,0.123218716,6.173905042,0.002178562,0.175084694,0.51677062,150,0.824199013
X12_11N_N_N_0,1232,1705,2.767857143,0.124257861,5.573164574,0.002248462,0.164546622,0.577674154,144,0.76825659
X12_13N_N_N_0,990,1179,2.381818182,0.135652485,7.090994537,0.00240831,0.20186406,0.460328257,132,0.861298312
X12_19N_N_N_1,775,836,2.157419355,0.157725375,10.17373476,0.002787364,0.401459854,0.227803618,152,0.89893034
X12_23N_N_N_1,733,785,2.141882674,0.161710675,7.304010226,0.002926069,0.393313668,0.172783456,148,0.896745462
X12_24N_N_N_0,951,1345,2.828601472,0.164288869,5.430851486,0.002977475,0.188179537,0.476697106,127,0.76629751
X12_3N_N_N_1,1019,1175,2.306182532,0.115534437,7.83908204,0.002265405,0.310368195,0.467429257,144,0.883538589
X12_6N_N_N_1,739,797,2.156968877,0.163756654,9.68944199,0.002922722,0.406949549,0.237913976,137,0.914073854
X12_8N_N_N_0,1105,1424,2.577375566,0.125412238,5.655997794,0.002334579,0.174319189,0.521012853,136,0.80209296
X13_11N_N_N_0,1270,1800,2.834645669,0.113359112,5.318252738,0.002233763,0.150269471,0.586299585,140,0.761200125
X13_13N_N_N_0,1200,1602,2.67,0.116036817,5.636685433,0.002226856,0.160625715,0.5782402,137,0.788474729
X13_19N_N_N_1,1024,1105,2.158203125,0.122580712,8.691729516,0.00210968,0.332902225,0.323048402,178,0.905077898
X13_23N_N_N_1,1041,1166,2.240153698,0.118083569,8.034655933,0.002153994,0.310045772,0.432465085,159,0.893748977
X13_24N_N_N_0,1076,1423,2.644981413,0.128350492,5.456871351,0.002460448,0.163128817,0.56324544,126,0.785122465
X13_3N_N_N_1,1090,1227,2.251376147,0.103756215,7.359082417,0.002067379,0.301623084,0.447982747,158,0.888942801
X13_6N_N_N_1,753,770,2.045152722,0.171890969,8.725542769,0.002719618,0.425246827,0.126162019,163,0.921124602
X13_8N_N_N_0,1065,1390,2.610328638,0.14370874,5.679528475,0.002453316,0.194038748,0.445638745,150,0.787154668
X14_11N_N_N_0,720,948,2.633333333,0.186055611,5.141092131,0.003662494,0.232854209,0.303376603,121,0.791228603
X14_13N_N_N_0,1044,1397,2.676245211,0.122690206,5.504240095,0.002565911,0.167433303,0.528107471,127,0.790869122
X14_19N_N_N_1,882,964,2.185941043,0.12647738,7.087682333,0.002481204,0.277654517,0.338056373,138,0.896313648
X14_23N_N_N_1,997,1099,2.204613842,0.132871109,7.714185615,0.002213468,0.32843019,0.36217085,169,0.891315547
X14_24N_N_N_0,652,913,2.800613497,0.220473459,4.88405388,0.004302018,0.24144523,0.372678183,111,0.769275219
X14_3N_N_N_1,869,966,2.223245109,0.134978754,7.237502571,0.002561342,0.348074922,0.347125516,150,0.88632798
X14_6N_N_N_1,916,1032,2.253275109,0.133032974,7.03873716,0.002462596,0.288888889,0.390898895,153,0.875946535
X14_8N_N_N_0,974,1313,2.696098563,0.15780085,5.437746087,0.002770913,0.197317179,0.432914566,145,0.769881219
