,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu16482,3,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Proteobacteria,,,,,
Zotu1145,11,6,9,6,4,8,10,9,12,8,4,6,6,3,0,14,4,1,10,1,2,4,4,4,2,4,0,0,0,3,1,2,1,5,11,2,7,0,0,2,1,4,0,3,0,1,0,0,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Nitrosomonadaceae,D_5__MND1,D_6__uncultured Burkholderiales bacterium
Zotu264,4,4,8,3,26,12,11,3,4,17,3,16,6,24,20,16,3,5,53,10,15,14,2,15,6,4,22,54,0,14,29,17,2,7,13,5,66,4,27,25,5,13,2,23,7,8,2,13,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Bacillaceae,D_5__Bacillus,D_6__Bacillus humi
Zotu2847,49,2,2,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__uncultured bacterium
Zotu2204,9,5,5,0,4,5,6,1,4,1,2,1,2,4,10,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,5,1,1,1,3,1,0,1,0,2,0,0,0,2,0,2,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__AKYH767,D_5__uncultured bacterium,D_6__
Zotu901,8,13,11,5,4,5,9,6,4,12,9,11,9,3,12,4,0,4,5,2,2,5,4,1,6,3,1,2,3,5,1,2,4,2,9,5,12,6,5,2,2,6,2,6,1,1,2,1,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__SC-I-84,,
Zotu2022,7,1,0,0,0,2,3,1,0,0,0,2,1,2,2,0,2,0,1,1,0,19,0,0,2,0,1,0,0,1,0,0,0,1,2,22,0,0,0,0,1,0,0,2,3,12,0,1,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,,,
Zotu270,17,17,22,38,17,18,20,11,12,10,13,7,25,10,6,11,20,27,20,27,33,29,16,17,14,16,4,5,22,13,24,10,10,14,11,10,30,17,9,7,5,14,11,5,2,13,3,6,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Hyphomicrobiaceae,D_5__Hyphomicrobium,
Zotu140,30,17,17,39,20,24,15,33,21,17,10,8,30,8,20,16,35,24,42,22,12,29,32,35,15,33,22,23,16,20,26,32,19,28,29,24,29,39,21,25,13,20,44,27,19,24,21,18,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__IMCC26256,,,
Zotu7641,1,2,2,2,1,1,2,1,3,1,1,2,0,1,1,3,2,0,1,0,0,2,1,0,2,0,1,0,0,2,1,0,1,0,6,0,2,0,1,1,3,0,1,1,6,2,1,2,D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Pirellulales,D_4__Pirellulaceae,D_5__Pirellula,D_6__uncultured Pasteuria sp.
Zotu1746,4,0,6,3,2,3,7,4,0,3,2,3,1,1,2,3,0,2,2,2,5,0,1,1,2,3,7,0,4,1,0,3,5,3,5,5,6,0,2,4,5,1,3,6,4,2,0,2,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,D_5__ADurb.Bin063-1,D_6__uncultured bacterium
Zotu1959,59,2,3,10,0,4,7,12,11,2,1,0,0,2,0,16,1,0,0,0,3,5,0,6,4,3,1,1,1,6,1,3,4,2,2,1,2,6,0,6,1,3,0,1,0,0,4,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Pyrinomonadales,D_4__Pyrinomonadaceae,D_5__RB41,
Zotu46,16,32,23,49,22,48,34,72,25,55,67,63,10,24,66,38,34,4,73,20,38,45,80,54,82,16,89,84,28,132,24,76,40,39,54,45,36,78,149,29,61,21,24,62,89,41,111,51,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Chthoniobacterales,D_4__Chthoniobacteraceae,D_5__Candidatus Udaeobacter,
Zotu28,62,63,29,55,20,45,101,38,64,68,166,186,23,49,121,75,23,8,42,60,5,29,12,28,86,46,690,49,41,84,14,101,48,58,255,54,14,39,78,118,118,44,38,116,214,59,131,74,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Chthoniobacterales,D_4__Chthoniobacteraceae,D_5__Candidatus Udaeobacter,D_6__uncultured Prosthecobacter sp.
Zotu148,5,10,15,9,13,14,7,16,8,21,14,5,13,8,17,13,15,8,29,8,22,26,29,21,19,10,23,24,14,23,26,27,16,17,15,22,17,18,25,11,24,13,16,15,41,28,20,36,D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Gaiellales,D_4__uncultured,D_5__bacterium Ellin6517,D_6__
Zotu1175,10,7,3,8,2,4,6,4,15,3,1,1,0,5,1,3,1,0,0,1,1,7,3,4,1,2,2,0,0,3,0,0,5,9,4,4,4,11,0,6,4,6,2,4,1,11,2,1,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Candidatus Solibacter,
Zotu7,111,245,239,258,198,193,285,212,189,292,212,196,243,162,138,103,218,263,231,237,196,179,148,228,151,181,155,177,149,104,83,160,211,157,197,208,215,222,167,120,165,109,276,303,206,164,90,151,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,D_5__Bradyrhizobium,
Zotu3759,6,1,2,1,3,2,0,2,1,1,3,2,0,0,2,1,3,0,2,1,0,1,0,0,1,0,6,0,1,0,0,4,5,0,2,0,1,0,2,5,0,0,2,1,1,0,0,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Pyrinomonadales,D_4__Pyrinomonadaceae,D_5__RB41,
Zotu329,11,7,10,9,8,7,12,9,12,12,6,8,2,3,6,13,17,12,18,19,23,13,12,21,15,12,16,8,7,12,9,22,13,14,10,5,11,12,7,16,5,12,25,9,9,9,9,11,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__uncultured,D_4__bacterium enrichment culture clone Anammox_49,D_5__,D_6__
Zotu8627,6,0,0,2,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,4,0,0,2,0,0,0,1,0,0,4,2,2,0,0,0,0,0,0,D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Pirellulales,D_4__Pirellulaceae,D_5__uncultured,D_6__uncultured Pasteuria sp.
Zotu93,23,29,29,28,29,27,41,35,23,45,29,20,33,12,22,25,34,29,54,51,43,30,25,49,42,32,27,18,16,14,20,34,22,43,34,26,31,35,6,43,31,37,42,32,8,26,37,42,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Methyloligellaceae,D_5__uncultured,Ambiguous_taxa
Zotu1859,13,8,6,5,8,12,3,2,2,4,1,1,3,4,3,13,0,1,0,2,2,1,1,1,1,1,0,0,0,1,3,0,1,0,6,3,6,6,2,0,1,1,2,1,0,3,4,2,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__Haliangiaceae,D_5__Haliangium,
Zotu30,61,47,133,50,116,126,69,92,82,69,55,53,71,36,72,63,67,95,72,107,48,35,59,83,97,38,72,53,51,74,32,50,66,106,58,47,49,58,54,96,72,84,132,38,54,84,43,84,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Bacillaceae,D_5__Bacillus,
Zotu6828,5,4,2,0,2,2,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,D_0__Bacteria,D_1__Chloroflexi,D_2__Anaerolineae,D_3__Anaerolineales,D_4__Anaerolineaceae,D_5__uncultured,D_6__uncultured bacterium
Zotu10096,2,1,1,1,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Oceanospirillales,D_4__Pseudohongiellaceae,D_5__BIyi10,
Zotu22,50,48,42,56,20,87,55,111,87,72,67,34,61,37,124,46,171,87,217,124,178,97,141,151,69,108,110,182,82,99,48,131,44,49,59,47,56,86,76,30,162,33,126,120,33,114,115,93,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Sphingomonadales,D_4__Sphingomonadaceae,D_5__Sphingomonas,
Zotu961,3,8,5,9,12,2,3,2,3,6,4,7,4,3,1,1,2,17,7,20,6,6,2,4,1,3,25,2,28,3,1,7,3,2,1,6,4,4,1,1,0,1,2,0,0,0,1,1,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Steroidobacterales,D_4__Steroidobacteraceae,D_5__Steroidobacter,
Zotu2133,3,1,4,1,1,3,3,3,2,4,1,1,0,4,1,6,4,1,0,0,0,8,2,3,0,0,0,0,0,0,0,2,3,5,1,3,3,0,1,11,1,3,1,5,0,0,4,4,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Propionibacteriales,D_4__Nocardioidaceae,D_5__Kribbella,
Zotu303,14,11,23,30,19,13,16,17,18,8,14,10,23,9,5,7,7,21,9,14,12,12,9,12,13,14,6,2,13,15,11,18,13,21,11,20,17,12,6,14,19,23,9,17,8,14,11,4,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiaceae,,
Zotu3,1065,509,705,585,348,503,538,695,1081,489,303,147,162,290,315,518,297,367,181,421,617,415,414,595,680,470,240,89,73,715,195,394,643,765,348,335,327,497,166,668,147,354,157,123,54,242,743,229,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Pyrinomonadales,D_4__Pyrinomonadaceae,D_5__RB41,
Zotu1204,4,3,3,4,3,11,6,9,7,2,5,17,3,6,12,1,0,0,4,0,2,3,0,0,0,0,2,0,4,3,1,0,3,0,0,5,2,0,3,1,22,0,0,5,10,10,2,4,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,,,,
Zotu15,100,42,49,56,20,109,57,78,105,127,87,366,35,89,167,96,64,5,54,51,27,70,48,41,108,34,679,93,93,145,33,105,87,111,207,80,40,64,294,133,160,35,71,93,199,101,133,111,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Chthoniobacterales,D_4__Chthoniobacteraceae,D_5__Candidatus Udaeobacter,
Zotu1167,56,2,12,1,3,0,6,35,3,0,0,0,0,5,0,17,1,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,25,0,0,0,0,0,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,D_4__uncultured soil bacterium,D_5__,D_6__
Zotu10471,3,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,,
Zotu7808,7,2,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,9,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Bacillaceae,D_5__Bacillus,
Zotu73,85,29,7,75,33,114,64,39,29,20,17,8,3,65,121,37,10,5,10,87,11,19,105,18,12,3,55,1,6,68,30,18,17,19,7,10,4,33,18,13,46,1,5,10,2,68,100,8,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Pyrinomonadales,D_4__Pyrinomonadaceae,D_5__RB41,
