,Bacteria,Fungi,Protists,Acidobacteria,Actinobacteria,Bacteroidetes,Chlamydiae,Chloroflexi,Firmicutes,Gemmatimonadetes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Ascomycota,Basidiomycota,Mortierellomycota,AMF,Pathotroph,Saprotroph,Symbiotroph,Apicomplexa,Cercozoa,Ciliophora,Conosa,Lobosa,Ochrophyta,Consumer,Parasite,Phototroph
X09_11_N_N_0,0.257887604,0.334901177,0.400098086,0.216188429,0.233606483,0.265113011,0.271920913,0.289987221,0.271596339,0.295304109,0.177867437,0.309950637,0.243627009,0.216984846,0.284790139,0.282823038,0.226594555,0.28778266,0.451430217,0.317511695,0.434345857,0.264259809,0.317941677,0.436754969,0.466697843,0.396467619,0.401385126,0.551614784,0.357171871,0.332489894,0.399210045,0.437372739,0.343556966
X09_13_N_N_0,0.236749411,0.308361487,0.375017513,0.202525958,0.207346775,0.230935596,0.32318358,0.269434671,0.256701086,0.261273208,0.128062024,0.292841267,0.207248186,0.188971281,0.265527044,0.274523229,0.222097707,0.255821957,0.433569099,0.205230634,0.396256501,0.2619337,0.239423927,0.379446048,0.227840399,0.387701019,0.331392948,0.338688217,0.423373431,0.393790723,0.379367261,0.260174093,0.403693588
X09_19_N_N_1,0.253078209,0.336445788,0.377695382,0.215704781,0.21373911,0.268160624,0.330483099,0.281056151,0.297052654,0.279681342,0.169307387,0.316030548,0.224791967,0.209795062,0.269263972,0.312824042,0.232656512,0.284327717,0.424865901,0.248778426,0.345276484,0.309114167,0.307717966,0.344786339,0.288608163,0.368226191,0.388752043,0.447747323,0.407109652,0.263683752,0.386063505,0.317789576,0.302588438
X09_23_N_N_1,0.268411608,0.33619971,0.410020774,0.245966052,0.230097325,0.291737061,0.349183758,0.304529312,0.260373198,0.307663142,0.121753935,0.337030595,0.228610116,0.196999316,0.310911611,0.291232261,0.259175195,0.281818562,0.468103481,0.332741641,0.35990845,0.260353137,0.316196057,0.35277822,0.255099554,0.417335154,0.427997044,0.431711528,0.411743565,0.264112877,0.423673358,0.327750222,0.308532861
X09_24_N_N_0,0.2669292,0.312150857,0.392959203,0.24147506,0.219283912,0.259529347,0.379836356,0.298999622,0.269841621,0.293791114,0.240012311,0.327048834,0.239295786,0.228359072,0.295991841,0.300553893,0.266942962,0.270965166,0.401450261,0.359813307,0.271757859,0.279893992,0.307905805,0.271635265,0.275462228,0.425296913,0.337856747,0.413393573,0.446104467,0.32735394,0.399040231,0.333898656,0.361492329
X09_3_N_N_1,0.275201991,0.373811208,0.422538868,0.243423804,0.238484441,0.300532499,0.331398478,0.32560266,0.259435507,0.298569865,0.175970754,0.329108899,0.246742486,0.22085176,0.294791288,0.303832072,0.266149305,0.306434097,0.503166875,0.175615749,0.577485722,0.325253967,0.374614398,0.573996679,0.309283993,0.412291536,0.435666098,0.52299147,0.489183786,0.374918505,0.430119716,0.343623058,0.404618927
X09_6_N_N_1,0.254950129,0.318363781,0.402823639,0.217649586,0.233956732,0.280497179,0.320932544,0.293197425,0.274396716,0.281565144,0.111907578,0.309020737,0.216480019,0.200688731,0.28433811,0.289840392,0.216486321,0.277380985,0.401720803,0.245888814,0.378232976,0.229872254,0.309616749,0.395450608,0.188843087,0.407013689,0.375029056,0.625388046,0.465668295,0.36026202,0.413623781,0.268112098,0.374506964
X09_8_N_N_0,0.255321373,0.309932255,0.377701329,0.222507655,0.214022563,0.255962462,0.297179842,0.305494743,0.301494244,0.281512988,0.205837233,0.314270206,0.220435192,0.22585844,0.290344808,0.296490396,0.243612006,0.268306094,0.385315751,0.132807654,0.385630743,0.247601023,0.311027416,0.374268472,0.287781648,0.404339645,0.351110419,0.363668517,0.364454574,0.282086286,0.383718748,0.315245202,0.328133757
X10_11_N_N_0,0.270885647,0.356862605,0.404745439,0.240951153,0.227874532,0.347039173,0.307976661,0.309203963,0.267936947,0.260824244,0.170681336,0.329971235,0.239653092,0.215209752,0.293885988,0.276858186,0.261447883,0.298381954,0.529428235,0.235624038,0.556780102,0.295303416,0.353229342,0.525696422,0.314102147,0.381717328,0.40873618,0.325785778,0.389878366,0.385311761,0.402326922,0.362972096,0.413333733
X10_13_N_N_0,0.288072823,0.351213626,0.433513428,0.250376772,0.246706869,0.342007132,0.293069826,0.367384776,0.251772584,0.29823793,0.242205806,0.36817753,0.253539796,0.224343906,0.311079358,0.313558484,0.29159699,0.314061417,0.501860601,0.380063895,0.561277697,0.283788551,0.355433591,0.528501931,0.383887205,0.441303691,0.383958753,0.468767653,0.471118894,0.33918783,0.43996846,0.404439873,0.369252539
