,Bacteria,Fungi,Protists,Acidobacteria,Actinobacteria,Bacteroidetes,Chlamydiae,Chloroflexi,Firmicutes,Gemmatimonadetes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Ascomycota,Basidiomycota,Mortierellomycota,AMF,Pathotroph,Saprotroph,Symbiotroph,Apicomplexa,Cercozoa,Ciliophora,Conosa,Lobosa,Ochrophyta,Consumer,Parasite,Phototroph
X09_11_N_N_0,0.235631312,0.293948007,0.333866086,0.18919682,0.183684353,0.201460966,0.258873604,0.247278833,0.24685555,0.212256245,0.137071975,0.228664302,0.229640582,0.208630192,0.230725395,0.282256649,0.203130741,0.259399624,0.381587424,0.195028517,0.223848831,0.20547094,0.242779434,0.332921996,0.340643262,0.297746486,0.295314141,0.49475564,0.271058094,0.250719149,0.332627308,0.274578843,0.224639101
X09_13_N_N_0,0.22670419,0.273769714,0.308122073,0.178804533,0.195010363,0.20600835,0.313204078,0.21661146,0.238128773,0.180643423,0.121844918,0.206049659,0.233184565,0.179445139,0.211751015,0.260164983,0.211278214,0.222771174,0.304188439,0.149950853,0.251910816,0.258244463,0.206873378,0.225844142,0.30704371,0.289911137,0.199958273,0.373912688,0.214295391,0.346270856,0.311223778,0.25494841,0.300598907
X09_19_N_N_1,0.236863336,0.323493799,0.357640144,0.165953588,0.187322282,0.238662595,0.291971298,0.226529803,0.202478637,0.207412437,0.062997494,0.208265077,0.207132754,0.187824805,0.216902416,0.297084347,0.189623227,0.248710486,0.344998935,0.274555187,0.27414437,0.24049916,0.262635289,0.277946182,0.426140376,0.306367308,0.269782249,0.484422327,0.383613605,0.150542582,0.35067276,0.334678451,0.158090714
X09_23_N_N_1,0.250823435,0.309835906,0.359253184,0.189598614,0.204373838,0.255775004,0.31832528,0.23856863,0.213638424,0.222233825,0.07330124,0.237635753,0.214512628,0.182994253,0.235782938,0.275021613,0.232043482,0.26441296,0.39524777,0.293531404,0.222827046,0.174095811,0.270922791,0.262777374,0.283908738,0.340813422,0.266850042,0.41844825,0.27852068,0.277156251,0.333290482,0.258265421,0.259439455
X09_24_N_N_0,0.253855394,0.300407643,0.310063448,0.194385241,0.1941806,0.222586635,0.310992684,0.245238309,0.299003963,0.196434562,0.14852104,0.260560723,0.232968522,0.229044714,0.246739256,0.280716172,0.234434208,0.238371038,0.267740678,0.449887657,0.269251015,0.189698096,0.261720634,0.290094372,0.44431146,0.301763403,0.212679442,0.3368655,0.228929876,0.360715156,0.300015419,0.30960159,0.329901306
X09_3_N_N_1,0.254938972,0.328548453,0.3633699,0.183719044,0.217841188,0.248384882,0.297647119,0.254132946,0.212339831,0.2652635,0.037085241,0.229157311,0.255699591,0.199711384,0.228383018,0.310159338,0.220362364,0.248470195,0.39851689,0.245206686,0.386540487,0.262553595,0.270721269,0.432936891,0.268460839,0.325267863,0.371334711,0.511177837,0.422831799,0.243210964,0.369043316,0.264793355,0.269155451
X09_6_N_N_1,0.237870065,0.276400823,0.344523191,0.171510457,0.208515213,0.235442819,0.286941535,0.229750963,0.277871238,0.183591215,0.004548199,0.214552546,0.230592246,0.17667028,0.223734843,0.259941437,0.189565828,0.233830791,0.333286005,0.300200429,0.198942834,0.240426683,0.241297495,0.307303926,0.260512788,0.315449208,0.290640415,0.50943752,0.310514363,0.30086956,0.338586663,0.300507279,0.259567455
X09_8_N_N_0,0.240322192,0.265855948,0.310619103,0.189759013,0.190819724,0.236158583,0.261541946,0.225099446,0.30258555,0.185719098,0.106943548,0.221480641,0.231261426,0.20082997,0.226056207,0.280209004,0.206788061,0.209283163,0.288845047,0.17403759,0.19667755,0.226072324,0.241966301,0.222756489,0.252370105,0.294839884,0.207534455,0.351478897,0.231655203,0.194850829,0.317402037,0.21233459,0.20223915
X10_11_N_N_0,0.249060884,0.319208096,0.356725446,0.191636925,0.190233631,0.264984928,0.30202314,0.233445251,0.241477212,0.183037282,0.036865193,0.235088634,0.230221304,0.205117008,0.240534587,0.260222398,0.221052412,0.256105085,0.439426635,0.43621445,0.285985099,0.216710829,0.241540967,0.300265251,0.412088149,0.324298825,0.273812444,0.323521284,0.329821593,0.342514857,0.353012934,0.33185349,0.288644377
X10_13_N_N_0,0.260937477,0.318538285,0.342344504,0.195502111,0.224647633,0.248979444,0.295955401,0.24802615,0.249092012,0.282104786,0.060283764,0.260208059,0.221371506,0.181211614,0.237893128,0.257057993,0.252241613,0.26993211,0.466400015,0.212410089,0.359538731,0.215049853,0.304754645,0.403881684,0.295354042,0.353344244,0.22444888,0.427289381,0.30532459,0.292585717,0.355037347,0.296247265,0.262793812
X10_19_N_N_1,0.251704417,0.304996989,0.372009793,0.190654788,0.213162608,0.240125178,0.30068256,0.244240658,0.235799318,0.227210492,0.173747538,0.251145066,0.209212432,0.196847224,0.219975088,0.298646406,0.221049405,0.26585585,0.383323705,0.222640074,0.256528213,0.215411823,0.269496806,0.274176355,0.279245381,0.300499547,0.312771821,0.431559958,0.354010635,0.281784423,0.365944906,0.302955112,0.277465821
X10_23_N_N_1,0.258962515,0.342528541,0.335412805,0.210514218,0.240338284,0.246369612,0.333720212,0.235049356,0.221215441,0.241291202,0.06899771,0.253940148,0.215567654,0.234795352,0.224393749,0.334373908,0.240383507,0.321330025,0.393911791,0.31825164,0.374066349,0.321575234,0.32354742,0.416014971,0.338151121,0.319783077,0.214874665,0.471437293,0.32177938,0.328022537,0.327340895,0.302959812,0.309417017
