Sample_name,temperature,moisture.new.samplingmonth,moisture.new.year,TOC,TN,pH,NH4-N,NO3-N,FlTotl,FlC4,FlC3,plant richness,precipitation_Samplingmonth,precipitation_annual_cm,SPEI,ER,GPP,NEE,Autotrophic,Heterotrophic,total_soil_respiration
X09_11_N_N_0,16.83779937,6.77175,18.10106538,0.833,0.092,6.98,2.84,1.01,604.03,318.29,285.74,8,16.3,101.16,0.78413,7.752553064,12.54981194,4.79725888,NA,NA,NA
X09_13_N_N_0,16.60341228,7.699075,18.58640769,1.352,0.134,6.71,3.56,1.5,234.65,125.45,109.2,10,16.3,101.16,0.78413,6.945354831,10.85741014,3.912055306,NA,NA,NA
X09_19_N_N_1,16.14164864,7.594991667,18.57158462,0.857,0.086,6.65,2.84,0.7,534.6,105.42,429.18,3,16.3,101.16,0.78413,10.60208406,12.74698845,2.144904394,NA,NA,NA
X09_23_N_N_1,16.7993735,7.131066667,18.28096538,1.528,0.141,6.34,4.4,0.97,517.8,12.96,504.84,5,16.3,101.16,0.78413,8.083961864,10.99244958,2.908487714,NA,NA,NA
X09_24_N_N_0,16.55332773,1.902591667,16.69786538,1.963,0.177,6.37,4.73,1.24,254.84,28.81,226.03,5,16.3,101.16,0.78413,7.169617636,10.71518412,3.545566481,NA,NA,NA
X09_3_N_N_1,15.91431707,6.295116667,17.99676154,0.827,0.099,7.01,2.78,0.53,290.9,39.14,251.76,5,16.3,101.16,0.78413,7.195489438,10.58315305,3.38766361,NA,NA,NA
X09_6_N_N_1,18.24640216,7.681741667,18.87411346,1.08,0.112,6.57,3.31,0.6,493.06,77.35,415.71,6,16.3,101.16,0.78413,4.824389096,7.235415029,2.411025933,NA,NA,NA
X09_8_N_N_0,16.90663298,8.208583333,18.71016538,1.285,0.133,6.66,3.97,0.97,291.66,25.45,266.21,6,16.3,101.16,0.78413,6.269605122,9.775643741,3.506038619,NA,NA,NA
X10_11_N_N_0,16.78443375,5.3,11.5875,1.237,0.129,6.49,4.93,41.79,476,246,230,2,7.8,90.07,-0.5615,4.372905311,6.583072852,2.210167541,2.3975,1.783333333,4.180833333
X10_13_N_N_0,16.65665219,6.2,9.95,0.837,0.093,6.51,6.69,4.25,471,217,255,5,7.8,90.07,-0.5615,6.016272814,7.908303355,1.89203054,1.143333333,2.685833333,3.829166667
