,richness,shannon,invsimpson,PD
X09_11_N_N_0,493,3.651462245,6.590268512,190.85569
X09_13_N_N_0,692,4.689440562,25.03669483,225.95864
X09_19_N_N_1,566,4.260516115,12.10831796,218.20188
X09_23_N_N_1,575,4.781953088,44.62317078,214.25192
X09_24_N_N_0,633,4.677194559,37.04413603,207.65501
X09_3_N_N_1,452,2.962830607,6.509409138,188.76536
X09_6_N_N_1,557,3.308564099,4.293257798,220.49532
X09_8_N_N_0,532,4.420864819,30.64102329,196.85117
X10_11_N_N_0,541,4.592175023,45.24470896,218.97063
X10_13_N_N_0,319,3.540627417,15.58621418,140.95159
X10_19_N_N_1,458,4.021441001,22.18549849,190.71694
X10_23_N_N_1,357,2.789714079,5.316028845,179.14202
X10_24_N_N_0,386,2.296148943,2.301645512,162.7822
X10_3_N_N_1,300,3.368953979,12.69432002,136.289
X10_6_N_N_1,457,4.126328008,18.9919162,196.31092
X10_8_N_N_0,415,4.389883249,39.77801969,168.59847
X11_11_N_N_0,270,2.804811822,7.016541265,127.14677
X11_13_N_N_0,349,3.504830743,11.44686784,142.67729
X11_19_N_N_1,479,4.35495552,23.87503366,204.31036
X11_23_N_N_1,445,3.895533709,16.28271564,186.75865
X11_24_N_N_0,355,3.713606985,16.53187961,149.0022
X11_3_N_N_1,411,3.47528804,8.207897747,177.28505
X11_6_N_N_1,266,3.019555854,8.023056205,123.34901
X11_8_N_N_0,379,3.865740405,15.13697459,165.56391
X12_11_N_N_0,295,2.902223274,9.157458582,133.67812
X12_13_N_N_0,393,3.984989898,25.40649209,154.93671
X12_19_N_N_1,407,3.925037071,13.89373532,202.90193
X12_23_N_N_1,358,3.574513411,14.58921854,125.12563
X12_24_N_N_0,412,3.776705178,12.88671375,148.12757
X12_3_N_N_1,397,3.711986436,12.71615196,175.70455
X12_6_N_N_1,221,3.074698916,12.20674687,111.01729
X12_8_N_N_0,328,2.645571973,4.425096978,148.05492
X13_11_N_N_0,394,3.573274922,12.33237226,182.78954
X13_13_N_N_0,397,3.138946704,5.255152272,180.44502
X13_19_N_N_1,430,3.351251833,7.936021102,188.93613
X13_23_N_N_1,277,2.835008836,6.956430988,125.45432
X13_24_N_N_0,420,4.01873005,19.84451152,182.82286
X13_3_N_N_1,476,4.097010153,14.54333254,195.23168
X13_6_N_N_1,410,4.259099806,29.4230349,172.56983
X13_8_N_N_0,405,3.280223463,8.019496008,184.17464
X14_11_N_N_0,373,3.60214683,9.263306371,179.61727
X14_13_N_N_0,289,3.072393661,10.50240331,135.48075
X14_19_N_N_1,399,3.888427656,18.71402146,167.96555
X14_23_N_N_1,395,3.544859827,13.25282477,186.76352
X14_24_N_N_0,252,2.064759322,2.739487348,134.76886
X14_3_N_N_1,407,3.936725227,15.97857718,171.78223
X14_6_N_N_1,294,2.827836107,7.00705453,170.21362
X14_8_N_N_0,211,2.195544344,3.061183003,105.74966
