,X09_11S_N_C_0,X09_13S_N_C_0,X09_19S_N_C_1,X09_23S_N_C_1,X09_24S_N_C_0,X09_3S_N_C_1,X09_6S_N_C_1,X09_8S_N_C_0,X10_11N_N_N_0,X10_13N_N_N_0,X10_19N_N_N_1,X10_23N_N_N_1,X10_24N_N_N_0,X10_3N_N_N_1,X10_6N_N_N_1,X10_8N_N_N_0,X11_11N_N_N_0,X11_13N_N_N_0,X11_19N_N_N_1,X11_23N_N_N_1,X11_24N_N_N_0,X11_3N_N_N_1,X11_6N_N_N_1,X11_8N_N_N_0,X12_11N_N_N_0,X12_13N_N_N_0,X12_19N_N_N_1,X12_23N_N_N_1,X12_24N_N_N_0,X12_3N_N_N_1,X12_6N_N_N_1,X12_8N_N_N_0,X13_11N_N_N_0,X13_13N_N_N_0,X13_19N_N_N_1,X13_23N_N_N_1,X13_24N_N_N_0,X13_3N_N_N_1,X13_6N_N_N_1,X13_8N_N_N_0,X14_11N_N_N_0,X14_13N_N_N_0,X14_19N_N_N_1,X14_23N_N_N_1,X14_24N_N_N_0,X14_3N_N_N_1,X14_6N_N_N_1,X14_8N_N_N_0,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu57,186,6,117,2,13,23,0,0,28,2,7,0,21,2,23,4,3,4,4,0,110,32,3,1,0,6,40,3,0,62,0,17,2,0,5,3,17,17,17,1,0,0,2,230,6,43,11,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Glarea,s__unidentified
Zotu219,12,14,36,2,62,5,11,16,0,1,8,0,24,4,0,6,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__Pyrenochaetopsis_leptospora
Zotu6,3932,371,1,0,1,4,98,0,267,1,1,0,0,10,2,0,1,181,1,0,0,56,1,2,114,1,3,0,0,107,560,0,4,4328,34,0,0,21,169,150,28,4,173,16,0,12,2490,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Geastrales,f__Geastraceae,g__Geastrum,s__Geastrum_saccatum
Zotu290,268,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
Zotu249,351,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,
Zotu1749,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
Zotu1051,7,1,0,2,0,0,0,0,6,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,5,0,0,1,0,0,0,0,k__Fungi,p__Kickxellomycota,c__Kickxellomycetes,o__Kickxellales,f__Kickxellaceae,g__Ramicandelaber,
Zotu5,453,85,4,156,258,33,448,621,218,26,181,95,78,121,15,33,331,91,100,587,285,149,59,99,90,230,4,650,2230,1092,45,105,76,68,16,81,146,119,119,170,327,316,22,57,9,6,175,238,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,s__unidentified
Zotu26,8,15,2,0,9,16,25,0,1,28,7,0,6,0,0,3,0,1243,1667,0,0,1,2,3,0,14,0,1,0,0,0,0,0,25,1,0,0,0,0,0,0,2,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__unidentified,s__unidentified
Zotu357,148,1,0,57,0,0,0,0,7,0,0,1,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,
Zotu1075,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,24,0,0,0,0,0,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Lasiosphaeriaceae,g__unidentified,s__unidentified
Zotu712,6,0,3,0,23,0,6,0,3,1,0,0,1,0,0,0,0,2,3,0,0,0,4,0,4,2,0,0,0,0,1,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0,k__Fungi,,,,,,
Zotu23,8,3,4,0,12,1,1,9,0,16,51,7,10,1981,3,56,4,449,13,18,20,61,7,99,8,42,1,2,7,11,40,14,22,17,3,26,8,0,1,30,6,14,11,9,0,29,1,7,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__Gibberella_avenacea
Zotu36,21,119,93,38,113,17,75,41,66,86,20,119,16,12,12,92,38,8,280,61,68,20,2,30,22,47,351,24,57,32,3,44,53,7,19,4,73,19,27,44,16,1,75,248,6,56,21,90,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,
Zotu465,39,0,1,0,0,0,0,0,31,0,0,0,0,0,0,29,8,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,
Zotu37,36,93,82,20,0,81,93,119,105,4,18,44,17,6,101,14,10,8,64,30,8,34,13,32,37,15,150,110,11,142,8,24,77,72,23,4,235,173,121,62,238,9,180,186,12,119,50,2,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,
Zotu925,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Psathyrellaceae,g__Coprinellus,s__Coprinellus_eurysporus
