Gene,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0
5f1_ppk2,64135.5932,65494.6832,61940.8906,62559.8614,63422.1798,59900.8946,59494.7217,67069.9196,55730.4664,67385.0996,58906.2458,61665.7894,71372.1065,62626.19,67027.6007,77412.6855,62532.1588,71101.4608,67580.9564,67864.6666,66575.0686,68989.2147,63978.4951,63675.3887,66477.0475,74160.8182,65963.5539,63638.0255,66898.6529,68579.578,72548.2051,73006.8308,76427.062,69187.2922,66762.2215,66057.9927,69476.0891,67259.9503,65118.5955,66757.4074,63231.0127,68688.3653,71628.7527,70141.6932,69447.043,71261.3062,71256.172,69252.7502
ABC_antibiotic_transporter,63317.23378,62168.7509,61705.81239,63654.63685,60019.02858,65580.06597,60023.12523,68847.6586,59102.5291,62935.20504,57244.41701,60092.38735,64489.76282,64110.87419,65063.08539,81310.78357,60789.77588,69243.19288,69136.31729,69292.71598,67952.77546,73368.36867,64785.49719,61179.23044,73586.61202,71527.06288,62592.00739,79375.96856,69372.09461,74692.22583,75207.05949,76574.87705,78143.15642,67515.2467,64151.26423,67302.65835,71556.77148,71597.97447,75124.69796,65383.00726,66363.29803,69729.62923,71628.07567,71385.25838,69841.78483,74318.22971,69595.4545,72772.73229
ABC_multidrug_fungi,16099.56469,16524.37084,14453.29353,16161.45541,17472.62581,16864.50827,15095.6976,20361.56358,15277.78522,18059.32202,14073.21729,17432.56315,18257.48635,15135.39787,17650.0782,21796.84322,16922.32046,17523.17518,18841.37195,18147.12831,18195.16642,19438.4429,16022.34003,17148.46638,20625.5922,20160.20751,18698.91879,18130.65131,20131.26326,20697.52369,19194.45708,21844.26553,22736.53467,18054.10223,16579.2318,16365.43339,19532.43573,16975.21723,16784.41099,18425.50565,19518.19691,19770.66535,21269.4166,21124.6128,21911.19753,20880.97816,19845.59929,21576.3368
Acc,11785.1924,12670.3969,12766.587,12930.0244,12236.1062,12556.1161,12684.4198,11692.406,8994.922,11116.4878,10565.424,10221.7839,11159.8819,11195.4099,11034.7636,12245.3425,8800.41,10965.7067,10499.4994,11090.739,11216.3765,11061.693,10864.2187,9122.726,10511.2076,10427.2948,9850.6659,9611.7542,9007.425,9579.977,10133.7368,10334.0702,10104.5712,12513.4546,11752.9919,12204.4619,10795.6119,12382.3126,11471.2599,11836.8701,10327.2142,10337.986,11364.6285,9882.176,8752.022,10193.8841,10612.0836,10237.0304
AceA,13441.1184,13344.7231,13185.8016,12902.6271,13351.8084,13461.2394,14004.4983,14606.2807,10662.724,13046.0572,13110.9154,11781.2458,12448.5153,12360.6761,11978.0164,16484.3168,11665.829,14151.4829,10914.0522,13941.9065,14051.9889,13868.2464,11531.4699,12567.678,14148.4529,16491.5937,13815.7626,14523.0665,16104.5356,16970.292,15402.7392,16326.3253,14997.0623,13651.9516,12513.8269,13013.4152,15659.0581,12663.8497,11660.8467,14763.4696,14871.0734,15128.9329,15880.4113,14917.721,13882.5831,16194.168,16505.5873,16592.8334
AceB,55590.8715,54834.1525,50700.02,54916.3184,54879.185,53612.4041,50739.7947,59086.575,51021.697,51668.8624,49256.9291,50261.4047,55928.8211,52030.9454,52166.7013,61126.037,51332.8523,55767.9525,59317.1546,58714.896,56689.7295,58680.363,53194.5305,54357.1482,58906.5361,61450.4491,56869.784,55894.7325,59444.5439,63089.2957,57991.3773,61674.4947,61284.8776,59272.393,60011.2226,54621.3091,61142.0651,57406.8586,54079.3122,58947.359,59235.4071,58578.875,62099.8801,59324.645,59096.4297,60051.646,57014.0066,60554.9508
Acetylglucosaminidase,57106.9314,57598.8504,55383.344,59727.584,59200.7542,59143.846,55829.833,64867.1921,49827.491,58871.5445,54174.7035,53860.2386,59687.5351,50769.7647,57031.2088,66422.9214,55401.7918,59893.7555,56226.8119,59664.6796,57118.1635,60399.8964,57186.4689,56142.1046,60815.5627,61454.6042,54773.5334,55883.998,60208.461,58785.838,62255.9007,62258.4937,64990.0845,60665.9716,55050.136,56558.8329,59298.8377,60586.6074,57232.767,59375.4284,59111.499,60503.5167,59739.9764,59243.956,58883.937,61991.176,56178.1286,60575.307
Aclb,13888.4463,12271.6539,10404.304,11078.6171,12041.7434,8543.2942,8391.502,9917.2053,8969.761,8458.513,8630.841,6517.623,9481.021,9543.1323,9403.431,8038.1774,7325.9259,7882.705,7190.881,8834.346,7132.3561,7913.5172,7317.634,7046.587,10132.813,9477.15,7387.0574,7589.47,8207.012,8152.9988,7058.207,7264.3106,9053.282,10364.359,8387.8618,10936.9338,13053.672,9440.673,9276.7427,8286.425,8165.7156,10281.1227,7581.4036,7955.5516,6919.9129,8546.664,10220.6673,6929.91
AcsF,1381.947,1387.463,1304.84,1252.106,1731.112,1319.841,1125.016,1152.605,1227.35,1442.389,1451.368,1395.554,1507.48,1160.275,1242.504,1717.216,1433.43,1698.072,1745.323,1709.688,1594.564,1923.608,1364.836,1691.758,1610.894,1576.529,1411.633,1739.655,1824.694,1639.336,1435.843,1801.547,1494.363,1339.137,1575.517,1657.134,1784.138,1279.269,1373.349,1686.186,1530.371,1693.762,1949.828,1468.583,1624.553,1319.807,1585.471,1757.535
Actin_Perkinsea,978.9836,755.8219,916.394,984.2934,867.5056,819.8231,1235.383,967.0612,0,770.6896,1352.536,944.0287,868.3842,2263.386,850.0964,698.6269,1110.999,845.8459,0,1020.478,1405.057,870.9715,1168.576,824.4415,685.6347,809.7936,0,1632.733,1012.688,818.6527,774.9699,723.6557,818.5057,0,798.821,816.6773,1179.751,918.6433,767.5774,673.1724,0,0,2518.523,1190.616,0,931.9774,752.1324,921.9967
