genename,geneCategory,subcategory1,subcategory2,source,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0
Acetylglucosaminidase,C Cycling,Carbon Degradation,Chitin,Archaea;phylum,17915.2584,18142.5374,16472.321,18996.812,17900.1052,18178.471,17593.221,18558.6981,16205.678,16928.1765,15644.6235,14979.9346,18080.1701,15985.9507,15844.5378,22837.1394,16910.3618,18075.9035,16192.5409,17846.6766,17552.0595,17154.9704,18151.7569,17617.8296,16818.2347,18857.3632,16676.3684,17472.781,19049.384,17026.184,18609.6667,21369.1407,18000.2055,17004.0486,17223.559,17182.9719,17787.0327,17775.2414,17646.267,17305.8544,16609.86,17622.2807,17966.9314,17264.702,18115.93,17851.187,16806.8366,18745.509
Aclb,C Cycling,Carbon Fixation,Reductive tricarboxylic acid cycle,Archaea;phylum,7702.672,7607.021,8408.264,7521.114,7548.14,7612.024,7655.8,7556.571,7161.456,7182.352,8630.841,6517.623,7444.579,7333.772,8193.851,6973.103,6498.4149,6464.409,7190.881,6608.076,6606.678,7289.432,7317.634,7046.587,6765.869,6197.3907,6684.035,6937.05,6358.325,7210.343,7058.207,6603.617,7262.866,7594.314,7727.817,7367.627,7512.897,7948.729,8468.213,7757.37,7130.9596,6744.9737,7023.237,7007.0728,6919.9129,7528.485,9316.05,6929.91
Ara,C Cycling,Carbon Degradation,Hemicellulose,Archaea;phylum,42677.728,42605.952,44106.71,43754.441,43233.538,44313.255,44535.55,35239.006,38919.741,40852.279,40759.045,54140.295,42273.424,46771.542,46214.635,38323.325,39796.883,42083.5027,47651.173,44170.423,44620.777,43456.858,44211.9237,41138.003,36643.665,38422.285,50584.144,42705.372,41554.241,49020.535,41837.962,38659.31,35191.393,43228.282,60292.475,40478.078,42643.666,42313.04,62796.292,41366.244,42191.265,41453.577,41483.713,40410.69,40484.543,44624.419,38583.355,35568.179
CcmL,C Cycling,Carbon Fixation,Bacterial Microcompartments,Bacteria;genus,26156.073,22992.592,25372.092,28077.978,26201.676,24760.814,26045.926,21888.124,34472.923,28412.571,27591.234,29119.503,39440.398,26610.362,26331.973,25573.558,34534.961,26817.723,27087.371,27704.222,28101.405,31067.428,30583.915,34554.589,25589.258,27704.366,26181.437,27811.501,28777.462,24259.071,27118.194,26178.771,25144.823,23043.329,22748.97,24764.659,30921.333,23201.112,24685.002,30184.069,29474.397,29628.807,27330.031,28175.763,34997.915,27691.681,20310.231,26841.142
Cdh,C Cycling,Carbon Degradation,Terpenes,Bacteria;phylum,2740.447,2596.003,2299.537,3539.866,2125.281,5107.412,3493.242,3133.387,3302.407,2647.302,3202.901,1991.187,2116.231,3267.512,5297.699,4414.044,2771.846,1986.111,4796.685,3804.753,3037.823,5725.65,3570.277,3918.135,3230.916,2600.879,4619.634,2685.884,3084.426,8576.514,2925.557,5275.015,2028.101,3046.878,2600.335,1889.709,2501.152,2841.002,1541.971,3694.544,3299.086,2541.025,4161.619,2508.921,2476.365,4175.789,6094.285,4655.64
Chitinase,C Cycling,Carbon Degradation,Chitin,,74942.546,76412.8587,73944.344,76740.4735,70935.4158,73924.9162,78044.7571,65798.4368,72425.354,75677.8228,73619.1538,78661.7601,75677.6552,72847.851,80601.2421,60491.9609,72045.3046,71200.5104,77496.281,72248.9199,73408.414,72719.285,75758.7573,74351.4254,67710.4032,66806.0492,73300.3835,69254.0544,65462.1341,65937.8695,66611.5854,65510.1217,63975.2019,73487.9728,71335.3612,71371.5652,71092.9815,72887.896,75877.0143,74464.8271,71857.2285,68759.2062,66112.7014,72505.891,70407.014,69869.5667,69225.3733,71917.5983
Codh,C Cycling,Carbon Fixation,Reductive acetyl¨CCoA pathway,,24545.267,23382.807,21474.448,21066.94,22042.157,19445.601,19480.735,17799.866,20432.481,20958.59,19263.847,20861.401,20686.906,18828.602,19125.895,20358.847,18628.447,20793.4,20054.701,21564.678,20313.893,20879.541,17978.378,18981.701,19498.229,20386.488,20776.181,18935.852,19565.119,19505.551,19095.23,17682.425,19013.266,21960.464,18856.453,21501.963,25893.435,18855.762,19132.458,19324.123,19774.075,23567.176,19528.644,19759.377,19915.204,19453.003,18583.948,19023.066
CsoS2,C Cycling,Carbon Fixation,Bacterial Microcompartments,Bacteria;phylum,0,0,653.5582,603.991,0,0,615.9575,0,0,552.6453,0,599.5795,554.3341,639.6308,904.5377,1024.366,0,0,0,576.9591,0,998.2678,0,0,749.8448,585.7337,751.5004,908.0059,0,1230.957,901.0608,789.9698,544.5386,593.3306,0,616.236,613.8554,850.6601,860.4289,939.3766,526.1549,553.1722,631.0969,0,0,838.053,903.8488,772.7177
Endoglucanase,C Cycling,Carbon Degradation,Cellulose,Archaea;phylum,4997.152,3874.8873,4345.975,3699.9272,3742.6823,3331.717,3037.296,3720.4723,5469.98,3939.1992,2832.99,2585.639,2957.7864,3152.377,2636.429,4923.262,4941.051,3222.458,3106.461,3896.6536,3115.3351,3554.6411,3788.798,3266.717,6310.8824,4741.1223,2652.399,2920.948,3341.807,3393.1852,3285.5815,3895.1756,4291.4475,3314.247,2800.47,3592.9365,3003.0436,3502.9318,3592.3915,3587.9347,4292.8443,4247.232,2474.956,3069.58,2974.472,3838.1809,3434.9725,2620.988
FBP_aldolase,C Cycling,Carbon Fixation,Calvin cycle,Bacteria;phylum,16967.204,16168.73,18261.6223,16673.497,18190.5947,17225.0967,21529.6729,15354.8236,14977.62,16632.2828,15663.83,18119.6443,16927.4935,17840.593,16391.0458,15650.2865,13332.97,16774.8648,17671.5075,16159.2636,18156.6052,16543.0125,14857.22,14643.73,13755.2985,15268.4576,21346.43,17878.1092,16589.2133,18542.4309,15415.109,14444.9878,14199.3112,13401.96,17458.0701,14763.98,15542.3185,15533.4656,16557.914,14954.15,22211.2356,14355.5497,16259.7934,16846.1302,14666.231,15755.881,13959.5186,13865.299
