,richness,shannon,invsimpson,PD
X09_11_N_N_0,577,5.883758359,180.1943081,59.00647834
X09_13_N_N_0,603,5.95285001,172.0880975,54.43895401
X09_19_N_N_1,574,5.880666533,179.9735359,55.40571427
X09_23_N_N_1,533,5.819515449,190.7719481,55.46620713
X09_24_N_N_0,609,6.045413813,255.4685217,58.14784693
X09_3_N_N_1,491,5.598561523,121.8838367,48.56978856
X09_6_N_N_1,577,5.828904264,133.5889414,58.07690069
X09_8_N_N_0,558,5.851908939,183.7098549,55.67026985
X10_11_N_N_0,529,5.757634307,171.7661366,57.2270444
X10_13_N_N_0,479,5.553602448,108.4892171,52.03006182
X10_19_N_N_1,571,5.893386013,183.1600998,58.13445223
X10_23_N_N_1,471,5.528729998,106.5842403,50.71918679
X10_24_N_N_0,477,5.538269154,111.3511219,57.41781535
X10_3_N_N_1,488,5.49255892,92.64278507,51.33990837
X10_6_N_N_1,534,5.782557295,167.9945105,53.90682857
X10_8_N_N_0,544,5.825151014,172.6950388,53.50069775
X11_11_N_N_0,441,5.493006182,124.2341001,52.03890588
X11_13_N_N_0,395,5.299583437,95.48517941,47.65943323
X11_19_N_N_1,476,5.588655896,134.543323,49.72388285
X11_23_N_N_1,381,5.038728363,47.66203764,44.48811732
X11_24_N_N_0,511,5.692106478,146.5426975,48.89242603
X11_3_N_N_1,482,5.562043232,120.5435746,48.07587116
X11_6_N_N_1,475,5.625738288,148.2583771,56.96350674
X11_8_N_N_0,544,5.856867732,193.6388083,57.09954088
X12_11_N_N_0,453,5.523735748,115.0849264,48.35267467
X12_13_N_N_0,475,5.486367909,85.12656467,49.76606706
X12_19_N_N_1,396,5.049017669,50.53126935,44.34016827
X12_23_N_N_1,431,5.120447683,42.65474185,45.97466764
X12_24_N_N_0,380,5.276707539,104.0033985,43.02232906
X12_3_N_N_1,501,5.572531973,103.6072789,54.63799817
X12_6_N_N_1,435,5.419842415,95.04037267,42.66584935
X12_8_N_N_0,513,5.735272367,149.2829268,50.69079636
X13_11_N_N_0,471,5.538430958,109.1016043,52.46101997
X13_13_N_N_0,559,5.871824641,196.4354105,58.55669841
X13_19_N_N_1,562,5.909655985,216.4668435,52.67834739
X13_23_N_N_1,447,5.369870245,81.39095745,48.30674424
X13_24_N_N_0,514,5.591955747,80.42838371,57.33913242
X13_3_N_N_1,466,5.33790556,64.72829823,45.85162254
X13_6_N_N_1,471,5.59072838,140.0594966,45.21675192
X13_8_N_N_0,530,5.804158042,189.4922601,58.09001198
X14_11_N_N_0,394,5.217332681,71.20426563,43.59171483
X14_13_N_N_0,415,5.153916907,60.94191835,48.17696976
X14_19_N_N_1,517,5.765446643,170.0560315,51.53291733
X14_23_N_N_1,503,5.584517271,80.35798687,49.97866659
X14_24_N_N_0,266,3.892429639,11.42240401,42.7318363
X14_3_N_N_1,440,5.240647484,56.0708451,53.61823996
X14_6_N_N_1,430,5.427653079,104.1508792,47.5900947
X14_8_N_N_0,458,5.530707047,127.1592798,51.46814725
