NetworkIndex,Total nodes,Total links,Average degree (avgK),Average clustering coefficient (avgCC),Average path distance (GD),Density (D),Transitivity (Trans),Krackhardt Connectedness (Con),Module.number.Greedy.optimization,Modularity.Greedy.optimization
X09_11_N_N_0,64,99,3.09375,0.070178994,2.292323035,0.049107143,0.06231454,1,7,0.558615538
X09_13_N_N_0,83,127,3.060240964,0.026688189,2.385965131,0.037320012,0.031120332,0.905965325,10,0.541716314
X09_19_N_N_1,84,175,4.166666667,0.067485413,1.996782657,0.050200803,0.029801325,0.930292599,7,0.432534697
X09_23_N_N_1,80,120,3,0.078345796,2.374670521,0.037974684,0.054794521,0.902531646,10,0.571739611
X09_24_N_N_0,80,133,3.325,0.034164014,2.11400991,0.042088608,0.032608696,0.855696203,9,0.49109412
X09_3_N_N_1,80,110,2.75,0.087026862,2.317405935,0.034810127,0.04178273,0.765822785,14,0.589210348
X09_6_N_N_1,87,142,3.264367816,0.023496873,2.185880321,0.037957765,0.011009174,0.867682438,11,0.506036683
X09_8_N_N_0,79,137,3.46835443,0.041159717,2.23491904,0.044466082,0.04109589,0.901330737,9,0.481568914
X10_11_N_N_0,76,126,3.315789474,0.023626374,2.27786102,0.044210526,0.027726433,0.948070175,8,0.502158489
X10_13_N_N_0,61,86,2.819672131,0.01780699,2.448030072,0.046994536,0.030821918,0.873224044,9,0.536168375
X10_19_N_N_1,87,163,3.747126437,0.025512739,2.071134869,0.043571238,0.032926829,0.910184443,9,0.454326437
X10_23_N_N_1,57,72,2.526315789,0.096248196,2.402179962,0.045112782,0.057142857,0.741854637,9,0.575635917
X10_24_N_N_0,65,99,3.046153846,0.042440476,2.131027992,0.047596154,0.042253521,0.824038462,10,0.506676576
X10_3_N_N_1,74,117,3.162162162,0.04170696,2.050084474,0.04331729,0.025157233,0.797112181,11,0.507060256
X10_6_N_N_1,80,130,3.25,0.051356016,2.155576738,0.041139241,0.043636364,0.810126582,12,0.48521369
X10_8_N_N_0,80,122,3.05,0.021247563,2.469573241,0.038607595,0.018480493,0.902531646,10,0.542323604
X11_11_N_N_0,69,91,2.637681159,0.056792174,2.937058741,0.038789429,0.084507042,0.887468031,9,0.588354724
X11_13_N_N_0,52,52,2,0,2.295279528,0.039215686,0,0.465309201,11,0.679902576
X11_19_N_N_1,85,152,3.576470588,0.071519453,2.079742095,0.042577031,0.040214477,0.8,10,0.463237741
X11_23_N_N_1,52,67,2.576923077,0.011728395,2.385408286,0.050527903,0.016483516,0.750377074,9,0.537385377
X11_24_N_N_0,73,112,3.068493151,0.034346505,2.251400246,0.04261796,0.039823009,0.868340944,8,0.51149422
X11_3_N_N_1,89,155,3.483146067,0.025621292,2.153581595,0.039581205,0.01754386,0.869765066,11,0.481568238
X11_6_N_N_1,58,66,2.275862069,0.054421769,2.750804126,0.039927405,0.058441558,0.774349667,9,0.645720396
X11_8_N_N_0,87,148,3.402298851,0.029259911,2.320390261,0.039561615,0.032159265,1,9,0.497438687
X12_11_N_N_0,73,116,3.178082192,0.020063994,2.105726574,0.04414003,0.025316456,0.842465753,10,0.492173733
X12_13_N_N_0,71,103,2.901408451,0.032624113,2.4906292,0.041448692,0.035608309,0.89054326,10,0.544995682
X12_19_N_N_1,81,119,2.938271605,0.075239793,2.276614738,0.036728395,0.027842227,0.747530864,11,0.550694463
X12_23_N_N_1,72,131,3.638888889,0.012554113,2.002198177,0.051251956,0.01663586,0.840375587,11,0.441094261
X12_24_N_N_0,48,62,2.583333333,0.027192982,2.689827259,0.054964539,0.038709677,1,6,0.593109636
X12_3_N_N_1,92,169,3.673913043,0.039047619,2.146015271,0.040372671,0.021226415,0.914954611,10,0.468610671
X12_6_N_N_1,71,110,3.098591549,0.042246642,2.250118946,0.044265594,0.023255814,0.944466801,8,0.540201178
X12_8_N_N_0,80,120,3,0.024160562,2.179892181,0.037974684,0.025862069,0.745886076,10,0.539485155
X13_11_N_N_0,49,53,2.163265306,0.066666667,2.639697988,0.045068027,0.057142857,0.700680272,11,0.639160497
X13_13_N_N_0,61,78,2.557377049,0.023076923,2.363934573,0.042622951,0.027522936,0.727868852,10,0.602714508
X13_19_N_N_1,79,125,3.164556962,0.008373016,2.36588132,0.040571243,0.019313305,0.901330737,9,0.501577852
X13_23_N_N_1,77,125,3.246753247,0.034351029,2.265963669,0.042720437,0.023762376,0.948735475,9,0.507740969
X13_24_N_N_0,69,117,3.391304348,0.021604938,1.858340192,0.049872123,0.016666667,0.664109122,9,0.472302678
X13_3_N_N_1,81,116,2.864197531,0.06122449,2.29978615,0.035802469,0.030379747,0.790740741,12,0.555192497
X13_6_N_N_1,71,115,3.23943662,0.02984793,2.117578655,0.046277666,0.033185841,0.838229376,10,0.501665875
X13_8_N_N_0,63,73,2.317460317,0.023015873,2.372513373,0.037378392,0.028708134,0.708141321,11,0.605319254
X14_11_N_N_0,39,43,2.205128205,0.03968254,2.660139599,0.05802969,0.034482759,0.71659919,8,0.613006442
X14_13_N_N_0,69,112,3.246376812,0,2.3497477,0.047740835,0,1,8,0.476609851
X14_19_N_N_1,86,151,3.511627907,0.064739905,2.143902844,0.041313269,0.039017341,0.909165527,8,0.451951268
X14_23_N_N_1,65,81,2.492307692,0,2.394652555,0.038942308,0,0.691346154,10,0.58521713
X14_24_N_N_0,26,18,1.384615385,0,1.213810279,0.055384615,0,0.126153846,8,0.801203318
X14_3_N_N_1,72,83,2.305555556,0.049593496,2.580773635,0.032472613,0.045,0.627934272,14,0.649508572
X14_6_N_N_1,55,67,2.436363636,0.064814815,2.289034919,0.045117845,0.035294118,0.732659933,9,0.594496716
X14_8_N_N_0,74,133,3.594594595,0.024235487,2.136262573,0.049241022,0.013953488,0.946686412,8,0.48790756
