Sample_name,total,TOC,TN,FlC3,moisture,GPP,NH4,Bacteria,TOC,TN,FlC3,GPP,SPEI,precipitation
X09_11_N_N_0,33769.60952,0.833,0.092,285.74,7.13,12.54981194,2.84,31823.1017,0.833,0.092,285.74,12.54981194,0.78413,101.16
X09_13_N_N_0,43446.02416,1.352,0.134,109.2,6.81,10.85741014,3.56,40006.48723,1.352,0.134,109.2,10.85741014,0.78413,101.16
X09_19_N_N_1,38380.95501,0.857,0.086,429.18,5.816,12.74698845,2.84,36763.05363,0.857,0.086,429.18,12.74698845,0.78413,101.16
X09_23_N_N_1,62972.24526,1.528,0.141,504.84,6.388,10.99244958,4.4,57961.23857,1.528,0.141,504.84,10.99244958,0.78413,101.16
X09_24_N_N_0,84128.77837,1.963,0.177,226.03,7.29,10.71518412,4.73,76712.2912,1.963,0.177,226.03,10.71518412,0.78413,101.16
X09_3_N_N_1,21578.11814,0.827,0.099,251.76,7.322,10.58315305,2.78,21578.11814,0.827,0.099,251.76,10.58315305,0.78413,101.16
X09_6_N_N_1,24716.6345,1.08,0.112,415.71,7.252,7.235415029,3.31,24716.6345,1.08,0.112,415.71,7.235415029,0.78413,101.16
X09_8_N_N_0,47719.75074,1.285,0.133,266.21,8.132,9.775643741,3.97,45520.61211,1.285,0.133,266.21,9.775643741,0.78413,101.16
X10_11_N_N_0,21746.44343,1.237,0.129,230,11.50285714,6.583072852,4.93,21512.05943,1.237,0.129,230,6.583072852,-0.5615,90.07
X10_13_N_N_0,18947.849,0.837,0.093,255,8.987142857,7.908303355,6.69,18947.849,0.837,0.093,255,7.908303355,-0.5615,90.07
X10_19_N_N_1,22263.78148,0.735,0.08,494,7.332857143,4.210570452,2.57,22263.78148,0.735,0.08,494,4.210570452,-0.5615,90.07
X10_23_N_N_1,26770.4942,1.008,0.093,558,7.773571429,5.26221487,4.64,26515.3032,1.008,0.093,558,5.26221487,-0.5615,90.07
X10_24_N_N_0,26889.56869,0.509,0.061,488,10.41142857,7.968190153,2.69,26889.56869,0.509,0.061,488,7.968190153,-0.5615,90.07
X10_3_N_N_1,19979.00628,0.712,0.073,290,9.745714286,5.71484349,3.68,19979.00628,0.712,0.073,290,5.71484349,-0.5615,90.07
X10_6_N_N_1,14810.91745,0.483,0.065,462,9.189285714,5.964107425,2.37,14810.91745,0.483,0.065,462,5.964107425,-0.5615,90.07
X10_8_N_N_0,17422.03513,0.569,0.076,378,11.21928571,6.993034231,3.19,17422.03513,0.569,0.076,378,6.993034231,-0.5615,90.07
X11_11_N_N_0,22356.18751,0.761,0.081,175,10.36923077,6.596561957,1.97,22356.18751,0.761,0.081,175,6.596561957,-1.94791,55.01
X11_13_N_N_0,41503.65825,2.041,0.192,173,7.818461538,7.543660139,5.53,38990.53425,2.041,0.192,173,7.543660139,-1.94791,55.01
X11_19_N_N_1,44259.39682,1.524,0.15,163,7.232307692,5.536897509,3.47,42762.98282,1.524,0.15,163,5.536897509,-1.94791,55.01
X11_23_N_N_1,35113.86418,0.724,0.078,161,6.691538462,6.113634974,2.27,34405.42118,0.724,0.078,161,6.113634974,-1.94791,55.01
X11_24_N_N_0,47622.34473,2.382,0.22,195,8.953846154,6.451184533,10.44,44639.39573,2.382,0.22,195,6.451184533,-1.94791,55.01
