Sample_name,Acidobacteria,Actinobacteria,Bacteroidetes,Chlamydiae,Chloroflexi,Firmicutes,Gemmatimonadetes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Ascomycota,Basidiomycota,Mortierellomycota,Arbuscular Mycorrhizal,Pathotroph,Saprotroph,Symbiotroph,Apicomplexa,Cercozoa,Ciliophora,Conosa,Lobosa,Ochrophyta,Consumer,Parasite,Phototroph
X09_11_N_N_0,51.85875,54.91874,54.84707,11.96068,63.43018,25.8657,20.4222,1.77031,64.89536,55.22877,14.12734,53.78825,32.85191,26.65499,86.47966,32.14902,5.38484,5.84019,21.97778,45.99508,12.46521,2.470698601,15.19656266,9.250106387,3.797197156,9.299507114,1.669958042,45.35165465,5.180287465,3.178456469
X09_13_N_N_0,49.40201,61.26638,51.85592,12.68587,66.08479,22.15922,22.83739,1.7102,71.03923,60.93705,14.90334,56.38803,32.88185,27.98063,104.79848,32.5472,5.79025,7.39429,27.69336,57.80799,16.2343,2.693541602,16.11594915,9.521699075,3.407741448,7.224617527,1.889284059,41.60297514,5.394712595,3.08303253
X09_19_N_N_1,49.37962,63.05996,46.91779,10.94639,67.17845,23.87923,22.90863,1.80824,67.1736,60.51409,13.77233,54.3668,29.49386,25.63262,96.7551,33.48304,2.25955,12.9587,27.21049,56.928,18.55918,2.445614575,18.03430288,6.879268,4.480356674,5.74107224,2.297029797,40.01161953,5.379470528,3.554611906
X09_23_N_N_1,49.2012,58.7601,47.78357,8.92247,53.54463,24.06427,20.94981,1.46648,61.56256,60.26811,14.42189,52.17258,28.43529,25.32772,100.02367,32.20604,1.7893,11.18618,23.04381,51.19817,17.79875,2.922030908,15.70112596,6.64217298,3.1657625,6.965266161,1.836508657,43.50541888,5.953010293,3.164175415
X09_24_N_N_0,46.43007,58.23621,50.26533,9.38205,57.249,24.73314,19.83852,3.24492,61.25972,61.19334,13.49377,47.78643,31.60914,24.36317,102.69463,34.50006,1.37076,10.29873,28.28679,46.8716,17.16376,1.467336795,16.53069376,9.316114268,3.423360818,8.079922052,1.598833748,46.22969317,4.278555282,2.828742446
X09_3_N_N_1,50.55326,57.23641,45.70126,12.47422,65.27616,25.9483,19.0576,1.67333,62.53176,53.34338,13.65073,53.52334,36.2281,24.99885,88.70906,24.23482,5.44384,6.07498,25.04353,46.87955,11.91235,3.285295538,15.88372713,5.157531516,3.053895575,7.242781426,1.97545938,38.36700084,5.827465403,3.495708239
X09_6_N_N_1,49.60433,58.61427,49.06942,11.8964,62.34103,24.65993,22.93635,1.65699,64.86713,60.21106,15.21439,53.85002,32.48648,26.82033,103.53755,31.083,5.9968,10.40927,27.85871,60.62258,15.6633,2.854111867,17.09033451,9.715863612,3.44102172,8.231155899,2.961241426,46.56617173,4.661103403,4.423890901
X09_8_N_N_0,49.75701,62.02894,53.36237,11.17025,62.19748,18.72354,21.60865,3.35399,65.91989,61.72483,13.29118,53.90397,29.54135,27.73375,93.10064,30.03299,5.89962,7.08185,20.53416,52.02038,17.14244,2.652514205,14.83553708,9.56698374,3.317864366,6.478469663,1.583920978,43.02743871,5.076933821,2.816784575
X10_11_N_N_0,48.74084,59.46505,43.22245,13.09879,59.34035,20.80396,22.89493,1.67864,59.83308,60.13174,14.92115,52.05436,31.01522,22.99127,94.93777,33.0556,5.34388,6.12189,25.78382,47.40414,15.49295,2.482443192,16.04600895,8.503775819,3.859510163,8.4154563,1.569411412,44.30663227,5.167032367,2.720582568
X10_13_N_N_0,47.89948,57.06534,50.1052,14.03682,53.6579,21.29313,17.091,1.7304,58.88212,62.01918,13.07361,50.59995,30.86592,23.68755,72.83132,18.28487,0.58062,4.07831,20.89735,39.70947,8.18365,2.565278557,13.9833945,8.399916676,3.372995051,8.577011936,2.038356891,40.12445364,5.094989982,3.183750444
