Sample_name,Acidobacteria,Actinobacteria,Bacteroidetes,Chlamydiae,Chloroflexi,Firmicutes,Gemmatimonadetes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteriales,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Ascomycota,Basidiomycota,Mortierellomycota,Arbuscular Mycorrhizal,Pathotroph,Saprotroph,Symbiotroph,Apicomplexa,Cercozoa,Ciliophora,Conosa,Lobosa,Ochrophyta,Consumer,Parasites,Phototroph
X09_11_N_N_0,24.24114374,11.70857103,8.521726882,0.862736812,3.369955631,6.151841679,2.028311853,1.09866892,3.567152616,12.7015987,3.852383971,5.102472005,3.662229734,10.25776463,46.65377176,48.27852998,1.286266925,0.454545455,3.558994197,65.57059961,0.531914894,2.310231023,33.33333333,34.40594059,1.402640264,7.920792079,4.04290429,88.28382838,5.115511551,4.785478548
X09_13_N_N_0,18.89921825,16.6068033,6.789210508,0.721881823,3.637580111,5.003873512,2.091696598,0.859215438,4.081273329,15.99056272,4.577787168,6.074371435,3.126980773,9.141488837,81.59574468,9.17794971,1.798839458,2.311411992,10.83172147,40.95744681,2.446808511,12.45874587,34.15841584,27.14521452,2.062706271,5.528052805,5.940594059,76.23762376,15.59405941,6.188118812
X09_19_N_N_1,19.21614198,17.6385661,5.898302697,0.788787943,3.905204592,4.046059582,2.528347067,0.700753574,3.771392352,17.13148813,4.630607789,6.47932953,3.359391507,7.144869357,72.89168279,15.27079304,1.324951644,3.704061896,4.255319149,53.95551257,3.810444874,1.897689769,42.90429043,25.08250825,2.062706271,4.867986799,8.745874587,82.59075908,5.858085809,9.240924092
X09_23_N_N_1,19.49433059,16.61384605,5.651806465,0.612719206,2.764279175,10.0253539,1.869849989,0.366222973,3.003732657,18.13507994,4.229171068,4.218606944,3.303049511,8.004084795,61.08317215,26.344294,0.396518375,8.974854932,2.601547389,30.43520309,9.758220503,4.04290429,42.98679868,24.5049505,1.567656766,4.125412541,7.343234323,82.26072607,6.188118812,7.755775578
X09_24_N_N_0,16.56102542,18.07169519,6.366645538,0.496513839,3.014296781,13.79322487,1.633917882,0.478906965,2.795971547,16.42721318,3.788999225,5.51447285,3.348827383,5.92999507,85.20309478,9.593810445,0.454545455,1.876208897,9.97098646,34.6131528,1.982591876,8.085808581,38.03630363,30.11551155,2.392739274,5.940594059,5.610561056,81.43564356,10.97359736,6.188118812
X09_3_N_N_1,18.35340517,13.85308825,4.40876118,1.158532291,3.359391506,12.94105219,1.993098106,0.75709557,2.838228044,13.96577224,3.65870836,5.113036129,6.78921051,8.588633002,87.26305609,8.713733075,1.247582205,0.328820116,1.65377176,50,0.386847195,6.353135314,43.39933993,16.83168317,1.155115512,9.570957096,5.528052805,75.1650165,13.44884488,6.270627063
X09_6_N_N_1,17.9308402,15.45883513,6.253961547,0.89795056,3.105852525,6.215226424,1.982533981,0.792309318,3.662229734,17.81815621,4.61652229,5.99690119,3.831255723,8.89147123,34.71953578,58.5106383,2.011605416,1.508704062,2.282398453,73.59767892,1.615087041,6.683168317,33.25082508,25.330033,5.0330033,3.795379538,6.02310231,77.55775578,9.488448845,7.755775578
X09_8_N_N_0,19.87111768,17.74420734,5.93703782,0.711317698,3.056553278,3.355870132,2.060004226,0.753574195,3.426297627,19.62462145,3.894640468,4.859497148,3.144587647,9.426720192,82.92069632,12.16634429,1.489361702,1.054158607,4.874274662,36.3926499,1.189555126,6.765676568,26.65016502,32.67326733,2.310231023,6.765676568,4.702970297,79.62046205,11.05610561,5.280528053
X10_11_N_N_0,22.99809846,15.20177477,4.130572576,0.968378055,3.239664765,5.24684837,2.391013452,0.904993309,2.570603564,17.66321572,4.327769561,5.908866822,3.700964857,8.285794774,45.39651838,15.87040619,1.885880077,0.328820116,5.048355899,21.74081238,0.551257253,4.04290429,38.11881188,27.64026403,2.805280528,11.30363036,4.125412541,84.65346535,7.095709571,4.455445545
X10_13_N_N_0,15.52221987,14.07141348,7.007535742,0.841608564,2.306500458,9.757729418,1.535319389,0.809916191,2.736108177,20.37819565,5.613071343,4.644693288,3.461511374,9.071061342,53.69439072,16.38297872,0.096711799,0.164410058,12.9303675,27.48549323,0.232108317,2.97029703,31.10561056,40.84158416,1.567656766,5.858085809,8.00330033,83.66336634,6.435643564,8.415841584
