,Acidobacteria,Actinobacteria,Bacteroidetes,Chlamydiae,Chloroflexi,Firmicutes,Gemmatimonadetes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteriales,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Ascomycota,Basidiomycota,Mortierellomycota,Arbuscular Mycorrhizal,Pathotroph,Saprotroph,Symbiotroph,Apicomplexa,Cercozoa,Ciliophora,Conosa,Lobosa,Ochrophyta,Consumer,Parasites,Phototroph,Consumer.richness,Consumer.PD
X09_11_N_N_0,5.267373571,6.351047598,6.058068305,4.509376956,5.480463048,4.126279881,4.385695103,1.947472438,6.046872023,5.830250546,5.174131314,5.5640075,5.108027843,4.820104177,4.335739013,1.186829559,2.020099842,2.916843911,3.030202239,2.123762709,3.063470221,2.20376563,4.992321835,4.543679667,2.476247133,3.495368173,3.054933355,5.705561368,3.170613888,3.329516208,478,45.35165465
X09_13_N_N_0,5.799509625,6.451373282,6.282784944,4.472230986,5.421062634,3.869108117,4.9202152,1.875749492,6.2510622,5.804018882,5.255748254,5.870747001,4.982264172,4.895303787,4.206257745,2.73463419,1.625356227,3.703631403,2.132722691,2.817790626,3.799339888,2.121732922,5.243517653,4.756148716,2.754331704,3.331496548,3.350977899,5.895186091,2.737973919,3.428827422,492,41.60297514
X09_19_N_N_1,5.637085509,6.414418237,6.030524323,4.340979539,5.655798336,4.149297285,4.813306752,2.219081271,6.132331786,5.588311472,5.221575576,5.778245179,5.011853569,4.897803546,3.427063134,3.283407665,1.493682031,3.895439981,3.161767575,2.415549138,3.942971332,2.231389198,5.292344409,4.13101625,2.941616953,2.731364254,3.423677099,5.670308024,3.093869968,3.545152698,467,40.01161953
X09_23_N_N_1,5.428785612,6.411592772,6.015492493,4.064139862,5.27661532,3.744173012,4.698565385,2.044980884,6.02361157,5.750745234,5.329822956,5.765710546,4.882301059,4.838991511,4.168451105,3.056383613,1.738895666,3.387351891,3.077262894,3.328651614,3.430611943,2.772973467,5.049295625,4.290634211,2.69801102,3.064727995,3.179141427,5.614416064,3.394692294,3.303453826,433,43.50541888
X09_24_N_N_0,5.74781975,6.306548523,6.13406954,4.240799671,5.411414357,3.548452574,4.762693836,1.910093689,6.033007776,5.807612774,5.126012702,5.681329448,4.849333038,5.029107833,4.393305596,2.018023106,1.907146318,3.237130983,2.836275043,3.184882838,3.355231657,2.275997455,5.2444271,4.748499747,2.671294425,3.549576027,3.309403291,5.923309287,2.868050588,3.473842853,515,46.22969317
X09_3_N_N_1,5.775196627,6.447362612,5.927311287,4.570266206,5.600916663,3.841174814,4.684971811,2.032550099,6.016102721,5.7245745,5.181945061,5.75540305,3.444228978,4.59636264,2.517108263,1.716592305,1.516731028,2.629873146,2.989837649,1.783187574,2.892207823,2.391665462,4.965370128,3.885848669,2.304619385,2.062838962,3.137106821,5.314334981,3.276186514,3.389572176,389,38.36700084
X09_6_N_N_1,5.615928269,6.375060496,5.957113693,4.410947376,5.482435099,4.027917272,4.834344188,1.926617618,6.053459744,5.901159358,5.174198525,5.595505608,5.179816972,4.697968292,4.604323452,0.969725302,2.049667313,3.209146292,3.037704428,1.916761941,3.29061332,2.080720367,5.254379043,4.81595776,1.044884309,3.515898097,3.253032883,5.772921589,2.846265786,3.649146858,477,46.56617173
X09_8_N_N_0,5.615663187,6.529585161,6.228727947,4.450390827,5.479966126,3.89556708,4.797780399,1.69552278,6.048787825,5.739257463,5.163798221,5.846612407,5.087168685,4.853170452,3.964298858,3.171066319,1.061276161,3.169855064,2.88929984,3.191948789,3.391991416,2.349638525,5.06365049,4.424120399,2.679543859,3.104512359,3.308989823,5.631077519,3.076735675,3.431951308,451,43.02743871
X10_11_N_N_0,4.897014026,6.406409935,5.738021303,4.48694365,5.293561503,3.613812149,4.848413729,1.839105771,5.90069778,5.573997543,5.044234403,5.434534138,5.188492828,4.135462263,4.22787388,2.345025254,1.635000101,2.696030222,2.388209144,3.282049792,2.91476813,1.810738477,4.977009361,4.225553027,2.754229162,3.204200319,3.144236655,5.579725387,2.6618351,3.278070759,449,44.30663227
X10_13_N_N_0,5.714839951,6.287245831,5.51641403,4.449689204,5.227138147,3.645110601,4.719469316,1.864398197,5.975754552,5.761933797,4.687844348,5.665685697,5.149155986,4.215113839,3.309019142,1.449400046,1.279854226,1.28163405,1.759204336,2.567233475,1.790207172,1.855988713,4.978570573,3.954542515,2.406159575,3.06039715,3.347037606,5.305210033,2.738075451,3.457479508,392,40.12445364
X10_19_N_N_1,5.865475664,6.606679402,5.885249842,4.366759028,5.492540327,4.122717445,4.676033092,2.003217876,5.949563336,5.896716975,5.184993204,5.963745859,4.695720556,3.944028558,3.6131195,2.796927178,1.464693474,2.49509832,2.473143051,2.350479465,2.672709626,2.15670163,5.144932335,4.494419639,2.72840754,3.527961817,3.424366276,5.765528462,2.667799663,3.683112021,470,43.05984396
X10_23_N_N_1,5.460536652,6.325517809,5.770708447,4.338148796,5.178692108,3.6368018,4.332309352,1.797727846,5.798909168,5.812718265,5.149535593,5.497347278,4.934301935,3.897185771,2.799217718,0.703436196,0.872564509,2.443155196,0.292885062,1.235245438,2.549475562,2.204785417,5.017524244,4.383284008,2.622498229,2.615751935,3.383945554,5.414155447,2.897526028,3.42102379,383,39.74250631
X10_24_N_N_0,5.736161425,6.165168683,5.925890729,4.065182015,5.441643171,4.285951487,4.683866087,2.152059213,5.834367155,5.972837698,5.065194612,5.729255901,4.780247174,4.688492888,1.98561128,2.153710116,1.299300203,1.767761472,3.006740662,3.540943164,1.77170531,1.869346322,4.672309349,4.183467198,3.205189622,2.805733685,2.859985316,5.309597757,2.727482361,3.111432365,385,39.92230285
X10_3_N_N_1,5.638924933,6.302732027,5.421426966,4.22637144,5.309350142,3.498809584,4.628652107,1.688899779,5.813965017,5.917600471,4.795487663,5.744594196,3.069521649,4.248788188,2.858786597,1.808812613,1.574097337,1.609437912,1.239695511,2.552959673,1.237649314,2.155469873,5.052783906,4.384554507,2.074778045,2.929357905,2.793450279,5.451011614,1.76112124,3.008831227,425,43.08241013
X10_6_N_N_1,5.550623536,6.429050057,5.6602574,4.490892669,5.249544563,3.790270918,4.619237938,1.736515696,5.888951268,5.622782667,5.066060792,5.703326219,5.253068142,4.15333347,4.190726339,2.483919703,1.374575103,2.311423445,2.489633941,3.72732556,2.557507739,2.007011557,5.190524773,4.098286817,2.329871704,2.089445371,3.335781449,5.546567046,2.967542387,3.502065575,441,40.23249349
X10_8_N_N_0,5.229031631,6.369455773,5.900462585,4.360422994,5.278649794,3.302416588,4.757167117,1.865102165,5.916665122,5.837754197,5.136692404,5.61017658,5.000226897,4.055319331,4.06498615,2.300945862,1.705472399,2.700703488,1.933280494,2.955615581,2.946682461,2.285871851,5.021319686,4.405733078,2.51265853,3.613384626,2.785284296,5.658570436,3.148453985,2.92702509,455,40.75717588
