Sample_name,plot,block,Year,year,Treatment,Drought,total,Bacteria,Gram.Negative,Gram.Positive,Actinomycetes,Anaerobe,Fungi
X09_11_N_N_0,11,B2,X09,2009,Drought,1,33769.60952,31823.1017,12564.41883,12718.24586,6287.731033,252.7059785,1946.507817
X09_13_N_N_0,13,B3,X09,2009,Drought,1,43446.02416,40006.48723,18812.97166,14799.58247,6393.933101,0,3439.536926
X09_19_N_N_1,19,B3,X09,2009,Control,0,38380.95501,36763.05363,15073.95577,14669.1749,6724.7862,295.1367563,1617.901383
X09_23_N_N_1,23,B4,X09,2009,Control,0,62972.24526,57961.23857,26010.47481,21573.92119,9855.044922,521.7976454,5011.00669
X09_24_N_N_0,24,B4,X09,2009,Drought,1,84128.77837,76712.2912,30893.19712,34151.5207,11056.70744,610.8659393,7416.487175
X09_3_N_N_1,3,B1,X09,2009,Control,0,21578.11814,21578.11814,8483.997739,9603.59505,3490.525353,0,0
X09_6_N_N_1,6,B2,X09,2009,Control,0,24716.6345,24716.6345,11560.78963,9167.200087,3633.606513,355.0382715,0
X09_8_N_N_0,8,B1,X09,2009,Drought,1,47719.75074,45520.61211,19160.44983,18285.70135,7679.980648,394.4802791,2199.138635
X10_11_N_N_0,11,B2,X10,2010,Drought,1,21746.44343,21512.05943,8313.795689,9084.693954,4113.56979,0,234.384
X10_13_N_N_0,13,B3,X10,2010,Drought,1,18947.849,18947.849,7962.542896,7911.484023,3073.822079,0,0
X10_19_N_N_1,19,B3,X10,2010,Control,0,22263.78148,22263.78148,8177.064088,9199.865467,3467.645508,1419.20642,0
X10_23_N_N_1,23,B4,X10,2010,Control,0,26770.4942,26515.3032,11483.70367,10713.95458,4317.644954,0,255.191
X10_24_N_N_0,24,B4,X10,2010,Drought,1,26889.56869,26889.56869,10452.97756,11485.66789,4950.92324,0,0
X10_3_N_N_1,3,B1,X10,2010,Control,0,19979.00628,19979.00628,7987.878214,8528.835184,3462.292882,0,0
