Sample_name,Bac.mean.relative.abundance,Fun.mean.relative.abundance,Pro.mean.relative.abundance,Bac.relative.proportion.in.network,Fun.relative proportion in the network,Pro.relative proportion in the network
X09_11_N_N_0,0.009765462,0.027804642,0.104644611,4.697459181,0.931928687,21.57676349
X09_13_N_N_0,0.011072364,0.007253385,0.094582629,5.515869418,0.137677834,16.72597865
X09_19_N_N_1,0.008897201,0.025559547,0.121335663,5.020576067,1.211922699,21.12676056
X09_23_N_N_1,0.010084884,0.048355899,0.100304148,4.941801107,2.1875,22.38267148
X09_24_N_N_0,0.012633386,0.026595745,0.092570233,6.098843269,0.817236256,17.03703704
X09_3_N_N_1,0.006250961,0.017269964,0.098686339,3.152585125,1.812907904,19.48881789
X09_6_N_N_1,0.007251115,0.042138712,0.110011001,3.838094191,2.638408304,25.18518519
X09_8_N_N_0,0.011580604,0.021760155,0.102632214,5.765407552,0.369609856,18.88888889
X10_11_N_N_0,0.010727487,0.01450677,0.106657007,4.584593895,0.379867047,14.60055096
X10_13_N_N_0,0.009765462,0.03384913,0.108669404,4.409113244,0.808080808,18.75
X10_19_N_N_1,0.008751345,0.022796353,0.134278134,4.270896857,0.593952484,25.0755287
X10_23_N_N_1,0.009793172,0.024868748,0.113246619,4.065743938,2.306213965,28.1124498
X10_24_N_N_0,0.015029373,0.00967118,0.171053691,7.293868898,0.55983205,19.67592593
X10_3_N_N_1,0.007751192,0.040066317,0.08412606,3.557765856,1.374733349,16.61341853
X10_6_N_N_1,0.009438951,0.043520309,0.106775383,4.031325052,0.965665236,18.13186813
X10_8_N_N_0,0.00871268,0.053191489,0.106657007,3.660210439,1.157590108,19.0647482
X11_11_N_N_0,0.014720798,0.065280464,0.120743782,6.615547764,0.620689655,17.96407186
X11_13_N_N_0,0.020583706,0.122098646,0.281735491,9.200064878,1.782248103,35.62340967
X11_19_N_N_1,0.007751192,0.053882288,0.126189089,3.673348432,2.011346055,17.97235023
X11_23_N_N_1,0.010147393,0.032467532,0.088979486,4.92466374,1.158206013,22.63374486
X11_24_N_N_0,0.01640888,0.537959381,0.116718989,6.931452173,9.102065862,17.57575758
X11_3_N_N_1,0.007605336,0.01934236,0.116482236,3.297795414,0.950441276,20.33898305
X11_6_N_N_1,0.00691773,0.010361978,0.134278134,3.152297743,0.246103363,24.34017595
X11_8_N_N_0,0.015065675,0.064071567,0.148917331,6.597249808,0.842473375,19.42257218
X12_11_N_N_0,0.011108667,0.060444874,0.150929727,5.069162591,0.874890639,24.91694352
X12_13_N_N_0,0.014847858,0.122098646,0.160991709,6.673192953,1.833363587,27.5862069
X12_19_N_N_1,0.007751192,0.207239569,0.13913156,2.874806737,6.04107934,17.95407098
X12_23_N_N_1,0.008709672,0.026941144,0.106775383,3.221083389,0.535126235,21.3592233
X12_24_N_N_0,0.014430376,0.18254352,0.201239636,7.015531224,2.397205906,38.31417625
X12_3_N_N_1,0.00637598,0.03384913,0.16663431,2.766226679,0.650644005,26.2755102
X12_6_N_N_1,0.009313932,0.006907986,0.118100045,3.462700408,0.235404896,20.22160665
X12_8_N_N_0,0.010999758,0.018133462,0.120743782,4.63621752,0.176678445,14.08450704
X13_11_N_N_0,0.010037733,0.026595745,0.084520647,4.455006806,0.69247718,19.44444444
X13_13_N_N_0,0.008186289,0.01450677,0.118731385,3.794379919,0.730816078,19.21824104
X13_19_N_N_1,0.008709672,0.013125173,0.160163075,3.782463022,1.003167899,25.98425197
X13_23_N_N_1,0.011397586,0.058717878,0.155309649,5.898846082,3.098796938,26.44628099
X13_24_N_N_0,0.009765462,0.015715667,0.102632214,4.332769561,0.432037222,13.07692308
X13_3_N_N_1,0.007813701,0.028322741,0.085743869,4.029658264,1.265041654,16.7721519
X13_6_N_N_1,0.006313471,0.03868472,0.126189089,2.269832941,1.003404408,21.08108108
X13_8_N_N_0,0.009220919,0.00967118,0.1106818,3.521907904,0.40753948,17.02786378
X14_11_N_N_0,0.014121802,0.031431335,0.106657007,5.535002801,0.781484821,14.80446927
X14_13_N_N_0,0.008748983,0.668520309,0.114706593,3.721433003,12.55106673,14.57800512
X14_19_N_N_1,0.008042903,0.033158331,0.163398693,4.207084457,1.108545035,30.14925373
X14_23_N_N_1,0.007792865,0.074606245,0.124571281,3.291963634,4.689535389,17.86542923
X14_24_N_N_0,0.013668016,0.01450677,0.050309909,5.095756897,0.548446069,15.43209877
X14_3_N_N_1,0.008772182,0.046283504,0.310619297,3.740227402,1.76967776,41.73913043
X14_6_N_N_1,0.008376288,0.018651561,0.071183589,4.137079312,1.090468498,13.92405063
X14_8_N_N_0,0.013214231,0.030222437,0.156966916,5.604742402,1.814223512,23.21428571
